sex,age,alone,sibsp,parch,class,deck,embark_town,fare,survived?
male,22.0,False,1,0,3,C,Southampton,7.25,No
female,38.0,False,1,0,1,C,Cherbourg,71.2833,Yes
female,26.0,True,0,0,3,C,Southampton,7.925,Yes
female,35.0,False,1,0,1,C,Southampton,53.1,Yes
male,35.0,True,0,0,3,C,Southampton,8.05,No
male,35.0,True,0,0,3,C,Queenstown,8.4583,No
male,54.0,True,0,0,1,E,Southampton,51.8625,No
male,2.0,False,3,1,3,C,Southampton,21.075,No
female,27.0,False,0,2,3,C,Southampton,11.1333,Yes
female,14.0,False,1,0,2,C,Cherbourg,30.0708,Yes
female,4.0,False,1,1,3,G,Southampton,16.7,Yes
female,58.0,True,0,0,1,C,Southampton,26.55,Yes
male,20.0,True,0,0,3,C,Southampton,8.05,No
male,39.0,False,1,5,3,C,Southampton,31.275,No
female,14.0,True,0,0,3,C,Southampton,7.8542,No
female,55.0,True,0,0,2,C,Southampton,16.0,Yes
male,2.0,False,4,1,3,C,Queenstown,29.125,No
male,2.0,True,0,0,2,C,Southampton,13.0,Yes
female,31.0,False,1,0,3,C,Southampton,18.0,No
female,31.0,True,0,0,3,C,Cherbourg,7.225,Yes
male,35.0,True,0,0,2,C,Southampton,26.0,No
male,34.0,True,0,0,2,D,Southampton,13.0,Yes
female,15.0,True,0,0,3,C,Queenstown,8.0292,Yes
male,28.0,True,0,0,1,A,Southampton,35.5,Yes
female,8.0,False,3,1,3,C,Southampton,21.075,No
female,38.0,False,1,5,3,C,Southampton,31.3875,Yes
male,38.0,True,0,0,3,C,Cherbourg,7.225,No
male,19.0,False,3,2,1,C,Southampton,263.0,No
female,19.0,True,0,0,3,C,Queenstown,7.8792,Yes
male,19.0,True,0,0,3,C,Southampton,7.8958,No
male,40.0,True,0,0,1,C,Cherbourg,27.7208,No
female,40.0,False,1,0,1,B,Cherbourg,146.5208,Yes
female,40.0,True,0,0,3,C,Queenstown,7.75,Yes
male,66.0,True,0,0,2,C,Southampton,10.5,No
male,28.0,False,1,0,1,C,Cherbourg,82.1708,No
male,42.0,False,1,0,1,C,Southampton,52.0,No
male,42.0,True,0,0,3,C,Cherbourg,7.2292,Yes
male,21.0,True,0,0,3,C,Southampton,8.05,No
female,18.0,False,2,0,3,C,Southampton,18.0,No
female,14.0,False,1,0,3,C,Cherbourg,11.2417,Yes
female,40.0,False,1,0,3,C,Southampton,9.475,No
female,27.0,False,1,0,2,C,Southampton,21.0,No
male,27.0,True,0,0,3,C,Cherbourg,7.8958,No
female,3.0,False,1,2,2,C,Cherbourg,41.5792,Yes
female,19.0,True,0,0,3,C,Queenstown,7.8792,Yes
male,19.0,True,0,0,3,C,Southampton,8.05,No
male,19.0,False,1,0,3,C,Queenstown,15.5,No
female,19.0,True,0,0,3,C,Queenstown,7.75,Yes
male,19.0,False,2,0,3,C,Cherbourg,21.6792,No
female,18.0,False,1,0,3,C,Southampton,17.8,No
male,7.0,False,4,1,3,C,Southampton,39.6875,No
male,21.0,True,0,0,3,C,Southampton,7.8,No
female,49.0,False,1,0,1,D,Cherbourg,76.7292,Yes
female,29.0,False,1,0,2,C,Southampton,26.0,Yes
male,65.0,False,0,1,1,B,Cherbourg,61.9792,No
male,65.0,True,0,0,1,C,Southampton,35.5,Yes
female,21.0,True,0,0,2,C,Southampton,10.5,Yes
male,28.5,True,0,0,3,C,Cherbourg,7.2292,No
female,5.0,False,1,2,2,C,Southampton,27.75,Yes
male,11.0,False,5,2,3,C,Southampton,46.9,No
male,22.0,True,0,0,3,C,Cherbourg,7.2292,No
female,38.0,True,0,0,1,B,Other,80.0,Yes
male,45.0,False,1,0,1,C,Southampton,83.475,No
male,4.0,False,3,2,3,C,Southampton,27.9,No
male,4.0,True,0,0,1,C,Cherbourg,27.7208,No
male,4.0,False,1,1,3,C,Cherbourg,15.2458,Yes
female,29.0,True,0,0,2,F,Southampton,10.5,Yes
male,19.0,True,0,0,3,C,Southampton,8.1583,No
female,17.0,False,4,2,3,C,Southampton,7.925,Yes
male,26.0,False,2,0,3,C,Southampton,8.6625,No
male,32.0,True,0,0,2,C,Southampton,10.5,No
female,16.0,False,5,2,3,C,Southampton,46.9,No
male,21.0,True,0,0,2,C,Southampton,73.5,No
male,26.0,False,1,0,3,C,Cherbourg,14.4542,No
male,32.0,True,0,0,3,C,Southampton,56.4958,Yes
male,25.0,True,0,0,3,F,Southampton,7.65,No
male,25.0,True,0,0,3,C,Southampton,7.8958,No
male,25.0,True,0,0,3,C,Southampton,8.05,No
male,0.83,False,0,2,2,C,Southampton,29.0,Yes
female,30.0,True,0,0,3,C,Southampton,12.475,Yes
male,22.0,True,0,0,3,C,Southampton,9.0,No
male,29.0,True,0,0,3,C,Southampton,9.5,Yes
female,29.0,True,0,0,3,C,Queenstown,7.7875,Yes
male,28.0,True,0,0,1,C,Southampton,47.1,No
female,17.0,True,0,0,2,C,Southampton,10.5,Yes
female,33.0,False,3,0,3,C,Southampton,15.85,Yes
male,16.0,False,1,3,3,C,Southampton,34.375,No
male,16.0,True,0,0,3,C,Southampton,8.05,No
female,23.0,False,3,2,1,C,Southampton,263.0,Yes
male,24.0,True,0,0,3,C,Southampton,8.05,No
male,29.0,True,0,0,3,C,Southampton,8.05,No
male,20.0,True,0,0,3,C,Southampton,7.8542,No
male,46.0,False,1,0,1,E,Southampton,61.175,No
male,26.0,False,1,2,3,C,Southampton,20.575,No
male,59.0,True,0,0,3,C,Southampton,7.25,No
male,59.0,True,0,0,3,C,Southampton,8.05,No
male,71.0,True,0,0,1,A,Cherbourg,34.6542,No
male,23.0,False,0,1,1,D,Cherbourg,63.3583,Yes
female,34.0,False,0,1,2,C,Southampton,23.0,Yes
male,34.0,False,1,0,2,C,Southampton,26.0,No
female,28.0,True,0,0,3,C,Southampton,7.8958,No
male,28.0,True,0,0,3,C,Southampton,7.8958,No
male,21.0,False,0,1,1,D,Southampton,77.2875,No
male,33.0,True,0,0,3,C,Southampton,8.6542,No
male,37.0,False,2,0,3,C,Southampton,7.925,No
male,28.0,True,0,0,3,C,Southampton,7.8958,No
female,21.0,True,0,0,3,C,Southampton,7.65,Yes
male,21.0,True,0,0,3,C,Southampton,7.775,Yes
male,38.0,True,0,0,3,C,Southampton,7.8958,No
female,38.0,False,1,0,3,C,Queenstown,24.15,Yes
male,47.0,True,0,0,1,C,Southampton,52.0,No
female,14.5,False,1,0,3,C,Cherbourg,14.4542,No
male,22.0,True,0,0,3,C,Southampton,8.05,No
female,20.0,False,1,0,3,C,Southampton,9.825,No
female,17.0,True,0,0,3,C,Cherbourg,14.4583,No
male,21.0,True,0,0,3,C,Southampton,7.925,No
male,70.5,True,0,0,3,C,Queenstown,7.75,No
male,29.0,False,1,0,2,C,Southampton,21.0,No
male,24.0,False,0,1,1,B,Cherbourg,247.5208,No
female,2.0,False,4,2,3,C,Southampton,31.275,No
male,21.0,False,2,0,2,C,Southampton,73.5,No
male,21.0,True,0,0,3,C,Southampton,8.05,No
male,32.5,False,1,0,2,C,Cherbourg,30.0708,No
female,32.5,True,0,0,2,E,Southampton,13.0,Yes
male,54.0,False,0,1,1,D,Southampton,77.2875,No
male,12.0,False,1,0,3,C,Cherbourg,11.2417,Yes
male,12.0,True,0,0,3,C,Queenstown,7.75,No
male,24.0,True,0,0,3,C,Southampton,7.1417,Yes
female,24.0,False,1,1,3,F,Cherbourg,22.3583,Yes
male,45.0,True,0,0,3,C,Southampton,6.975,No
male,33.0,True,0,0,3,C,Cherbourg,7.8958,No
male,20.0,True,0,0,3,C,Southampton,7.05,No
female,47.0,False,1,0,3,C,Southampton,14.5,No
female,29.0,False,1,0,2,C,Southampton,26.0,Yes
male,25.0,True,0,0,2,C,Southampton,13.0,No
male,23.0,True,0,0,2,C,Cherbourg,15.0458,No
female,19.0,False,0,2,1,D,Southampton,26.2833,Yes
male,37.0,False,1,0,1,C,Southampton,53.1,No
male,16.0,True,0,0,3,C,Southampton,9.2167,No
male,24.0,True,0,0,1,B,Cherbourg,79.2,No
female,24.0,False,0,2,3,C,Cherbourg,15.2458,No
female,22.0,True,0,0,3,C,Southampton,7.75,Yes
female,24.0,False,1,0,3,C,Southampton,15.85,Yes
male,19.0,True,0,0,3,C,Queenstown,6.75,No
male,18.0,True,0,0,2,C,Southampton,11.5,No
male,19.0,False,1,1,2,C,Southampton,36.75,No
male,27.0,True,0,0,3,C,Southampton,7.7958,Yes
female,9.0,False,2,2,3,C,Southampton,34.375,No
male,36.5,False,0,2,2,F,Southampton,26.0,No
male,42.0,True,0,0,2,C,Southampton,13.0,No
male,51.0,True,0,0,2,C,Southampton,12.525,No
female,22.0,False,1,0,1,C,Southampton,66.6,Yes
male,55.5,True,0,0,3,C,Southampton,8.05,No
male,40.5,False,0,2,3,C,Southampton,14.5,No
male,40.5,True,0,0,3,C,Southampton,7.3125,No
male,51.0,False,0,1,1,C,Cherbourg,61.3792,No
female,16.0,True,0,0,3,C,Queenstown,7.7333,Yes
male,30.0,True,0,0,3,C,Southampton,8.05,No
male,30.0,True,0,0,3,C,Southampton,8.6625,No
male,30.0,False,8,2,3,C,Southampton,69.55,No
male,44.0,False,0,1,3,C,Southampton,16.1,No
female,40.0,True,0,0,2,C,Southampton,15.75,Yes
male,26.0,True,0,0,3,C,Southampton,7.775,No
male,17.0,True,0,0,3,C,Southampton,8.6625,No
male,1.0,False,4,1,3,C,Southampton,39.6875,No
male,9.0,False,0,2,3,C,Southampton,20.525,Yes
female,9.0,False,0,1,1,E,Southampton,55.0,Yes
female,45.0,False,1,4,3,C,Southampton,27.9,No
male,45.0,True,0,0,1,C,Southampton,25.925,No
male,28.0,True,0,0,3,C,Southampton,56.4958,No
male,61.0,True,0,0,1,B,Southampton,33.5,No
male,4.0,False,4,1,3,C,Queenstown,29.125,No
female,1.0,False,1,1,3,C,Southampton,11.1333,Yes
male,21.0,True,0,0,3,C,Southampton,7.925,No
male,56.0,True,0,0,1,A,Cherbourg,30.6958,No
male,18.0,False,1,1,3,C,Southampton,7.8542,No
male,18.0,False,3,1,3,C,Southampton,25.4667,No
female,50.0,True,0,0,1,C,Cherbourg,28.7125,No
male,30.0,True,0,0,2,C,Southampton,13.0,No
male,36.0,True,0,0,3,C,Southampton,0.0,No
female,36.0,False,8,2,3,C,Southampton,69.55,No
male,36.0,True,0,0,2,C,Cherbourg,15.05,No
male,9.0,False,4,2,3,C,Southampton,31.3875,No
male,1.0,False,2,1,2,F,Southampton,39.0,Yes
female,4.0,False,0,2,3,C,Southampton,22.025,Yes
male,4.0,True,0,0,1,A,Southampton,50.0,No
female,4.0,False,1,0,3,C,Queenstown,15.5,Yes
male,45.0,True,0,0,1,C,Southampton,26.55,Yes
male,40.0,False,1,1,3,C,Queenstown,15.5,No
male,36.0,True,0,0,3,C,Southampton,7.8958,No
female,32.0,True,0,0,2,C,Southampton,13.0,Yes
male,19.0,True,0,0,2,C,Southampton,13.0,No
female,19.0,False,1,0,3,C,Southampton,7.8542,Yes
male,3.0,False,1,1,2,F,Southampton,26.0,Yes
female,44.0,True,0,0,1,B,Cherbourg,27.7208,Yes
female,58.0,True,0,0,1,B,Cherbourg,146.5208,Yes
male,58.0,True,0,0,3,C,Queenstown,7.75,No
male,42.0,False,0,1,3,C,Southampton,8.4042,No
female,42.0,True,0,0,3,C,Queenstown,7.75,Yes
female,24.0,True,0,0,2,C,Southampton,13.0,No
male,28.0,True,0,0,3,C,Southampton,9.5,No
male,28.0,False,8,2,3,C,Southampton,69.55,No
male,34.0,True,0,0,3,C,Southampton,6.4958,No
male,45.5,True,0,0,3,C,Cherbourg,7.225,No
male,18.0,True,0,0,3,C,Southampton,8.05,Yes
female,2.0,False,0,1,3,G,Southampton,10.4625,No
male,32.0,False,1,0,3,C,Southampton,15.85,No
male,26.0,True,0,0,3,C,Cherbourg,18.7875,Yes
female,16.0,True,0,0,3,C,Queenstown,7.75,Yes
male,40.0,True,0,0,1,A,Cherbourg,31.0,Yes
male,24.0,True,0,0,3,C,Southampton,7.05,No
female,35.0,True,0,0,2,C,Southampton,21.0,Yes
male,22.0,True,0,0,3,C,Southampton,7.25,No
male,30.0,True,0,0,2,C,Southampton,13.0,No
male,30.0,False,1,0,3,C,Queenstown,7.75,No
female,31.0,False,1,0,1,D,Cherbourg,113.275,Yes
female,27.0,True,0,0,3,C,Southampton,7.925,Yes
male,42.0,False,1,0,2,C,Southampton,27.0,No
female,32.0,True,0,0,1,D,Cherbourg,76.2917,Yes
male,30.0,True,0,0,2,C,Southampton,10.5,No
male,16.0,True,0,0,3,C,Southampton,8.05,Yes
male,27.0,True,0,0,2,C,Southampton,13.0,No
male,51.0,True,0,0,3,C,Southampton,8.05,No
male,51.0,True,0,0,3,C,Southampton,7.8958,No
male,38.0,False,1,0,1,C,Southampton,90.0,Yes
male,22.0,True,0,0,3,C,Southampton,9.35,No
male,19.0,True,0,0,2,C,Southampton,10.5,Yes
male,20.5,True,0,0,3,C,Southampton,7.25,No
male,18.0,True,0,0,2,C,Southampton,13.0,No
female,18.0,False,3,1,3,C,Southampton,25.4667,No
female,35.0,False,1,0,1,C,Southampton,83.475,Yes
male,29.0,True,0,0,3,C,Southampton,7.775,No
male,59.0,True,0,0,2,C,Southampton,13.5,No
female,5.0,False,4,2,3,C,Southampton,31.3875,Yes
male,24.0,True,0,0,2,C,Southampton,10.5,No
female,24.0,True,0,0,3,C,Southampton,7.55,No
male,44.0,False,1,0,2,C,Southampton,26.0,No
female,8.0,False,0,2,2,C,Southampton,26.25,Yes
male,19.0,True,0,0,2,C,Southampton,10.5,No
male,33.0,True,0,0,2,C,Southampton,12.275,No
female,33.0,False,1,0,3,C,Cherbourg,14.4542,No
female,33.0,False,1,0,3,C,Queenstown,15.5,Yes
male,29.0,True,0,0,2,C,Southampton,10.5,No
male,22.0,True,0,0,3,C,Southampton,7.125,No
male,30.0,True,0,0,3,C,Cherbourg,7.225,No
male,44.0,False,2,0,1,C,Queenstown,90.0,No
female,25.0,True,0,0,3,C,Southampton,7.775,No
female,24.0,False,0,2,2,C,Southampton,14.5,Yes
male,37.0,False,1,1,1,D,Southampton,52.5542,Yes
male,54.0,False,1,0,2,C,Southampton,26.0,No
male,54.0,True,0,0,3,C,Southampton,7.25,No
female,29.0,False,1,1,3,G,Southampton,10.4625,No
male,62.0,True,0,0,1,C,Southampton,26.55,No
male,30.0,False,1,0,3,C,Southampton,16.1,No
female,41.0,False,0,2,3,C,Southampton,20.2125,No
female,29.0,False,0,2,3,C,Cherbourg,15.2458,Yes
female,29.0,True,0,0,1,C,Cherbourg,79.2,Yes
female,30.0,True,0,0,1,B,Southampton,86.5,Yes
female,35.0,True,0,0,1,C,Cherbourg,512.3292,Yes
female,50.0,False,0,1,2,C,Southampton,26.0,Yes
male,50.0,True,0,0,3,C,Queenstown,7.75,No
male,3.0,False,4,2,3,C,Southampton,31.3875,Yes
male,52.0,False,1,1,1,E,Southampton,79.65,No
male,40.0,True,0,0,1,B,Southampton,0.0,No
female,40.0,True,0,0,3,C,Queenstown,7.75,No
male,36.0,True,0,0,2,C,Southampton,10.5,No
male,16.0,False,4,1,3,C,Southampton,39.6875,No
male,25.0,False,1,0,3,C,Southampton,7.775,Yes
female,58.0,False,0,1,1,C,Southampton,153.4625,Yes
female,35.0,True,0,0,1,C,Southampton,135.6333,Yes
male,35.0,True,0,0,1,C,Southampton,31.0,No
male,25.0,True,0,0,3,C,Southampton,0.0,Yes
female,41.0,False,0,1,2,C,Southampton,19.5,Yes
male,37.0,False,0,1,1,C,Cherbourg,29.7,No
female,37.0,True,0,0,3,C,Queenstown,7.75,Yes
female,63.0,False,1,0,1,D,Southampton,77.9583,Yes
female,45.0,True,0,0,3,C,Southampton,7.75,No
male,45.0,True,0,0,2,C,Southampton,0.0,No
male,7.0,False,4,1,3,C,Queenstown,29.125,No
female,35.0,False,1,1,3,C,Southampton,20.25,Yes
male,65.0,True,0,0,3,C,Queenstown,7.75,No
male,28.0,True,0,0,3,C,Southampton,7.8542,No
male,16.0,True,0,0,3,C,Southampton,9.5,No
male,19.0,True,0,0,3,C,Southampton,8.05,Yes
male,19.0,True,0,0,1,A,Southampton,26.0,No
male,33.0,True,0,0,3,C,Cherbourg,8.6625,No
male,30.0,True,0,0,3,C,Southampton,9.5,Yes
male,22.0,True,0,0,3,C,Southampton,7.8958,No
male,42.0,True,0,0,2,C,Southampton,13.0,Yes
female,22.0,True,0,0,3,C,Queenstown,7.75,Yes
female,26.0,True,0,0,1,C,Southampton,78.85,Yes
female,19.0,False,1,0,1,B,Cherbourg,91.0792,Yes
male,36.0,True,0,0,2,D,Cherbourg,12.875,No
female,24.0,True,0,0,3,C,Southampton,8.85,No
male,24.0,True,0,0,3,C,Southampton,7.8958,No
male,24.0,True,0,0,1,C,Cherbourg,27.7208,No
male,23.5,True,0,0,3,C,Cherbourg,7.2292,No
female,2.0,False,1,2,1,C,Southampton,151.55,No
male,2.0,True,0,0,1,C,Southampton,30.5,Yes
female,50.0,False,0,1,1,B,Cherbourg,247.5208,Yes
female,50.0,True,0,0,3,C,Queenstown,7.75,Yes
male,50.0,False,2,0,3,C,Queenstown,23.25,Yes
male,19.0,True,0,0,3,C,Southampton,0.0,No
female,19.0,True,0,0,2,E,Queenstown,12.35,Yes
male,19.0,True,0,0,3,C,Southampton,8.05,No
male,0.92,False,1,2,1,C,Southampton,151.55,Yes
female,0.92,True,0,0,1,C,Cherbourg,110.8833,Yes
female,17.0,False,1,0,1,C,Cherbourg,108.9,Yes
male,30.0,False,1,0,2,C,Cherbourg,24.0,No
female,30.0,True,0,0,1,E,Cherbourg,56.9292,Yes
female,24.0,True,0,0,1,C,Cherbourg,83.1583,Yes
female,18.0,False,2,2,1,B,Cherbourg,262.375,Yes
female,26.0,False,1,1,2,C,Southampton,26.0,No
male,28.0,True,0,0,3,C,Southampton,7.8958,No
male,43.0,False,1,1,2,C,Southampton,26.25,No
female,26.0,True,0,0,3,C,Southampton,7.8542,Yes
female,24.0,False,1,0,2,C,Southampton,26.0,Yes
male,54.0,True,0,0,2,C,Southampton,14.0,No
female,31.0,False,0,2,1,C,Southampton,164.8667,Yes
female,40.0,False,1,1,1,E,Cherbourg,134.5,Yes
male,22.0,True,0,0,3,C,Southampton,7.25,No
male,27.0,True,0,0,3,C,Southampton,7.8958,No
female,30.0,True,0,0,2,C,Queenstown,12.35,Yes
female,22.0,False,1,1,2,C,Southampton,29.0,Yes
male,22.0,False,8,2,3,C,Southampton,69.55,No
female,36.0,True,0,0,1,C,Cherbourg,135.6333,Yes
male,61.0,True,0,0,3,C,Southampton,6.2375,No
female,36.0,True,0,0,2,D,Southampton,13.0,Yes
female,31.0,False,1,1,3,C,Southampton,20.525,Yes
female,16.0,False,0,1,1,B,Cherbourg,57.9792,Yes
female,16.0,False,2,0,3,C,Queenstown,23.25,Yes
male,45.5,True,0,0,1,C,Southampton,28.5,No
male,38.0,False,0,1,1,C,Southampton,153.4625,No
male,16.0,False,2,0,3,C,Southampton,18.0,No
female,16.0,False,1,0,1,C,Southampton,133.65,Yes
male,16.0,True,0,0,3,C,Southampton,7.8958,No
male,29.0,False,1,0,1,C,Southampton,66.6,No
female,41.0,True,0,0,1,E,Cherbourg,134.5,Yes
male,45.0,True,0,0,3,C,Southampton,8.05,Yes
male,45.0,True,0,0,1,C,Southampton,35.5,No
male,2.0,False,1,1,2,F,Southampton,26.0,Yes
female,24.0,False,3,2,1,C,Southampton,263.0,Yes
male,28.0,True,0,0,2,C,Southampton,13.0,No
male,25.0,True,0,0,2,C,Southampton,13.0,No
male,36.0,True,0,0,2,C,Southampton,13.0,No
female,24.0,True,0,0,2,F,Southampton,13.0,Yes
female,40.0,True,0,0,2,C,Southampton,13.0,Yes
female,40.0,False,1,0,3,C,Southampton,16.1,Yes
male,3.0,False,1,1,3,C,Southampton,15.9,Yes
male,42.0,True,0,0,3,C,Southampton,8.6625,No
male,23.0,True,0,0,3,C,Southampton,9.225,No
male,23.0,True,0,0,1,C,Southampton,35.0,No
male,15.0,False,1,1,3,C,Cherbourg,7.2292,No
male,25.0,False,1,0,3,C,Southampton,17.8,No
male,25.0,True,0,0,3,C,Cherbourg,7.225,No
male,28.0,True,0,0,3,C,Southampton,9.5,No
female,22.0,False,0,1,1,E,Southampton,55.0,Yes
female,38.0,True,0,0,2,C,Southampton,13.0,No
female,38.0,True,0,0,3,C,Queenstown,7.8792,Yes
female,38.0,True,0,0,3,C,Queenstown,7.8792,Yes
male,40.0,False,1,4,3,C,Southampton,27.9,No
male,29.0,False,1,0,2,C,Cherbourg,27.7208,No
female,45.0,False,0,1,3,C,Cherbourg,14.4542,No
male,35.0,True,0,0,3,C,Southampton,7.05,No
male,35.0,False,1,0,3,C,Queenstown,15.5,No
male,30.0,True,0,0,3,C,Southampton,7.25,No
female,60.0,False,1,0,1,D,Cherbourg,75.25,Yes
female,60.0,True,0,0,3,C,Cherbourg,7.2292,Yes
female,60.0,True,0,0,3,C,Queenstown,7.75,Yes
female,24.0,True,0,0,1,B,Cherbourg,69.3,Yes
male,25.0,False,1,0,1,E,Cherbourg,55.4417,Yes
male,18.0,False,1,0,3,C,Southampton,6.4958,No
male,19.0,True,0,0,3,C,Southampton,8.05,No
male,22.0,True,0,0,1,C,Cherbourg,135.6333,No
female,3.0,False,3,1,3,C,Southampton,21.075,No
female,3.0,False,1,0,1,C,Cherbourg,82.1708,Yes
female,22.0,True,0,0,3,C,Southampton,7.25,Yes
male,27.0,False,0,2,1,C,Cherbourg,211.5,No
male,20.0,True,0,0,3,C,Cherbourg,4.0125,No
male,19.0,True,0,0,3,C,Southampton,7.775,No
female,42.0,True,0,0,1,C,Cherbourg,227.525,Yes
female,1.0,False,0,2,3,C,Cherbourg,15.7417,Yes
male,32.0,True,0,0,3,C,Southampton,7.925,No
female,35.0,False,1,0,1,C,Southampton,52.0,Yes
male,35.0,True,0,0,3,C,Southampton,7.8958,No
male,18.0,True,0,0,2,C,Southampton,73.5,No
male,1.0,False,5,2,3,C,Southampton,46.9,No
female,36.0,True,0,0,2,C,Southampton,13.0,Yes
male,36.0,True,0,0,3,C,Queenstown,7.7292,No
female,17.0,True,0,0,2,C,Cherbourg,12.0,Yes
male,36.0,False,1,2,1,B,Southampton,120.0,Yes
male,21.0,True,0,0,3,C,Southampton,7.7958,Yes
male,28.0,False,2,0,3,C,Southampton,7.925,No
female,23.0,False,1,0,1,D,Cherbourg,113.275,Yes
female,24.0,False,0,2,3,G,Southampton,16.7,Yes
male,22.0,True,0,0,3,C,Southampton,7.7958,No
female,31.0,True,0,0,3,C,Southampton,7.8542,No
male,46.0,True,0,0,2,C,Southampton,26.0,No
male,23.0,True,0,0,2,C,Southampton,10.5,No
female,28.0,True,0,0,2,C,Southampton,12.65,Yes
male,39.0,True,0,0,3,C,Southampton,7.925,Yes
male,26.0,True,0,0,3,C,Southampton,8.05,No
female,21.0,False,1,0,3,C,Southampton,9.825,No
male,28.0,False,1,0,3,C,Southampton,15.85,No
female,20.0,True,0,0,3,C,Southampton,8.6625,No
male,34.0,False,1,0,2,C,Southampton,21.0,No
male,51.0,True,0,0,3,C,Southampton,7.75,No
male,3.0,False,1,1,2,C,Southampton,18.75,Yes
male,21.0,True,0,0,3,C,Southampton,7.775,No
female,21.0,False,3,1,3,C,Southampton,25.4667,No
male,21.0,True,0,0,3,C,Southampton,7.8958,No
male,21.0,True,0,0,3,C,Queenstown,6.8583,No
female,33.0,False,1,0,1,C,Queenstown,90.0,Yes
male,33.0,True,0,0,2,C,Southampton,0.0,No
male,44.0,True,0,0,3,C,Southampton,7.925,Yes
female,44.0,True,0,0,3,C,Southampton,8.05,No
female,34.0,False,1,1,2,C,Southampton,32.5,Yes
female,18.0,False,0,2,2,C,Southampton,13.0,Yes
male,30.0,True,0,0,2,C,Southampton,13.0,No
female,10.0,False,0,2,3,C,Southampton,24.15,No
male,10.0,True,0,0,3,C,Cherbourg,7.8958,No
male,21.0,True,0,0,3,C,Queenstown,7.7333,No
male,29.0,True,0,0,3,C,Southampton,7.875,No
female,28.0,False,1,1,3,C,Southampton,14.4,No
male,18.0,False,1,1,3,C,Southampton,20.2125,No
male,18.0,True,0,0,3,C,Southampton,7.25,No
female,28.0,False,1,0,2,C,Southampton,26.0,Yes
female,19.0,True,0,0,2,C,Southampton,26.0,Yes
male,19.0,True,0,0,3,C,Queenstown,7.75,No
male,32.0,True,0,0,3,E,Southampton,8.05,Yes
male,28.0,True,0,0,1,C,Southampton,26.55,Yes
female,28.0,False,1,0,3,C,Southampton,16.1,Yes
female,42.0,False,1,0,2,C,Southampton,26.0,Yes
male,17.0,True,0,0,3,C,Southampton,7.125,No
male,50.0,False,1,0,1,E,Southampton,55.9,No
female,14.0,False,1,2,1,B,Southampton,120.0,Yes
female,21.0,False,2,2,3,C,Southampton,34.375,No
female,24.0,False,2,3,2,C,Southampton,18.75,Yes
male,64.0,False,1,4,1,C,Southampton,263.0,No
male,31.0,True,0,0,2,C,Southampton,10.5,No
female,45.0,False,1,1,2,C,Southampton,26.25,Yes
male,20.0,True,0,0,3,C,Southampton,9.5,No
male,25.0,False,1,0,3,C,Southampton,7.775,No
female,28.0,True,0,0,2,C,Southampton,13.0,Yes
