sex,age,alone,sibsp,parch,class,deck,embark_town,fare,survived?
male,28.0,True,0,0,3,C,Southampton,8.1125,Yes
male,4.0,False,0,2,1,A,Southampton,81.8583,Yes
female,13.0,False,0,1,2,C,Southampton,19.5,Yes
male,34.0,True,0,0,1,C,Southampton,26.55,Yes
female,5.0,False,2,1,3,C,Cherbourg,19.2583,Yes
male,52.0,True,0,0,1,C,Southampton,30.5,Yes
male,36.0,False,1,2,2,C,Southampton,27.75,No
male,36.0,False,1,0,3,C,Southampton,19.9667,No
male,30.0,True,0,0,1,C,Cherbourg,27.75,No
male,49.0,False,1,0,1,C,Cherbourg,89.1042,Yes
male,49.0,True,0,0,3,C,Southampton,8.05,No
male,29.0,True,0,0,3,C,Cherbourg,7.8958,Yes
male,65.0,True,0,0,1,E,Southampton,26.55,No
female,65.0,False,1,0,1,D,Southampton,51.8625,Yes
female,50.0,True,0,0,2,C,Southampton,10.5,Yes
male,50.0,True,0,0,3,C,Queenstown,7.75,No
male,48.0,True,0,0,1,E,Southampton,26.55,Yes
male,34.0,True,0,0,3,C,Southampton,8.05,No
male,47.0,True,0,0,1,E,Southampton,38.5,No
male,48.0,True,0,0,2,C,Southampton,13.0,No
male,48.0,True,0,0,3,C,Southampton,8.05,No
male,38.0,True,0,0,3,C,Southampton,7.05,No
male,38.0,True,0,0,2,C,Southampton,0.0,No
male,56.0,True,0,0,1,C,Southampton,26.55,No
male,56.0,True,0,0,3,C,Queenstown,7.725,No
female,0.75,False,2,1,3,C,Cherbourg,19.2583,Yes
male,0.75,True,0,0,3,C,Southampton,7.25,No
male,38.0,True,0,0,3,C,Southampton,8.6625,No
female,33.0,False,1,2,2,C,Southampton,27.75,Yes
female,23.0,True,0,0,2,D,Cherbourg,13.7917,Yes
female,22.0,True,0,0,3,C,Southampton,9.8375,No
male,22.0,True,0,0,1,A,Southampton,52.0,No
male,34.0,False,1,0,2,C,Southampton,21.0,No
male,29.0,False,1,0,3,C,Southampton,7.0458,No
male,22.0,True,0,0,3,C,Southampton,7.5208,No
female,2.0,False,0,1,3,C,Southampton,12.2875,Yes
male,9.0,False,5,2,3,C,Southampton,46.9,No
male,9.0,True,0,0,2,C,Southampton,0.0,No
male,50.0,True,0,0,3,C,Southampton,8.05,No
female,63.0,True,0,0,3,C,Southampton,9.5875,Yes
male,25.0,False,1,0,1,B,Cherbourg,91.0792,Yes
female,25.0,False,3,1,3,C,Southampton,25.4667,No
female,35.0,False,1,0,1,C,Southampton,90.0,Yes
male,58.0,True,0,0,1,B,Cherbourg,29.7,No
male,30.0,True,0,0,3,C,Southampton,8.05,No
male,9.0,False,1,1,3,C,Southampton,15.9,Yes
male,9.0,False,1,0,3,C,Southampton,19.9667,No
male,21.0,True,0,0,3,C,Southampton,7.25,No
male,55.0,True,0,0,1,C,Southampton,30.5,No
male,71.0,True,0,0,1,C,Cherbourg,49.5042,No
male,21.0,True,0,0,3,C,Southampton,8.05,No
male,21.0,True,0,0,3,C,Cherbourg,14.4583,No
female,54.0,False,1,0,1,D,Cherbourg,78.2667,Yes
male,54.0,True,0,0,3,C,Southampton,15.1,No
female,25.0,False,1,2,1,C,Southampton,151.55,No
male,24.0,True,0,0,3,C,Southampton,7.7958,No
male,17.0,True,0,0,3,C,Southampton,8.6625,No
female,21.0,True,0,0,3,C,Queenstown,7.75,No
female,21.0,True,0,0,3,C,Queenstown,7.6292,No
female,37.0,True,0,0,3,C,Southampton,9.5875,No
female,16.0,True,0,0,1,B,Southampton,86.5,Yes
male,18.0,False,1,0,1,C,Cherbourg,108.9,No
female,33.0,False,0,2,2,C,Southampton,26.0,Yes
male,33.0,True,0,0,1,C,Southampton,26.55,Yes
male,28.0,True,0,0,3,C,Southampton,22.525,No
male,26.0,True,0,0,3,C,Southampton,56.4958,Yes
male,29.0,True,0,0,3,C,Queenstown,7.75,Yes
male,29.0,True,0,0,3,C,Southampton,8.05,No
male,36.0,True,0,0,1,E,Southampton,26.2875,Yes
female,54.0,False,1,0,1,C,Cherbourg,59.4,Yes
male,24.0,True,0,0,3,C,Southampton,7.4958,No
male,47.0,True,0,0,1,D,Southampton,34.0208,No
female,34.0,True,0,0,2,F,Southampton,10.5,Yes
male,34.0,True,0,0,3,C,Queenstown,24.15,No
female,36.0,False,1,0,2,C,Southampton,26.0,Yes
male,32.0,True,0,0,3,C,Southampton,7.8958,No
female,30.0,True,0,0,1,B,Southampton,93.5,Yes
male,22.0,True,0,0,3,C,Southampton,7.8958,No
male,22.0,True,0,0,3,C,Cherbourg,7.225,No
female,44.0,False,0,1,1,B,Cherbourg,57.9792,Yes
male,44.0,True,0,0,3,C,Cherbourg,7.2292,No
male,40.5,True,0,0,3,C,Queenstown,7.75,No
female,50.0,True,0,0,2,C,Southampton,10.5,Yes
male,50.0,True,0,0,1,C,Southampton,221.7792,No
male,39.0,True,0,0,3,C,Southampton,7.925,No
male,23.0,False,2,1,2,C,Southampton,11.5,No
female,2.0,False,1,1,2,C,Southampton,26.0,Yes
male,2.0,True,0,0,3,C,Cherbourg,7.2292,No
male,17.0,False,1,1,3,C,Cherbourg,7.2292,No
female,17.0,False,0,2,3,C,Cherbourg,22.3583,Yes
female,30.0,True,0,0,3,C,Southampton,8.6625,No
female,7.0,False,0,2,2,C,Southampton,26.25,Yes
male,45.0,True,0,0,1,B,Southampton,26.55,No
female,30.0,True,0,0,1,C,Cherbourg,106.425,Yes
male,30.0,True,0,0,3,C,Southampton,14.5,No
female,22.0,False,0,2,1,B,Cherbourg,49.5,Yes
female,36.0,False,0,2,1,B,Southampton,71.0,Yes
female,9.0,False,4,2,3,C,Southampton,31.275,No
female,11.0,False,4,2,3,C,Southampton,31.275,No
male,32.0,False,1,0,2,C,Southampton,26.0,Yes
male,50.0,False,1,0,1,C,Cherbourg,106.425,No
male,64.0,True,0,0,1,C,Southampton,26.0,No
female,19.0,False,1,0,2,C,Southampton,26.0,Yes
male,19.0,True,0,0,2,C,Cherbourg,13.8625,Yes
male,33.0,False,1,1,3,C,Southampton,20.525,No
male,8.0,False,1,1,2,C,Southampton,36.75,Yes
male,17.0,False,0,2,1,C,Cherbourg,110.8833,Yes
male,27.0,True,0,0,2,C,Southampton,26.0,No
male,27.0,True,0,0,3,C,Queenstown,7.8292,No
male,22.0,True,0,0,3,C,Cherbourg,7.225,Yes
female,22.0,True,0,0,3,C,Southampton,7.775,Yes
male,62.0,True,0,0,1,C,Southampton,26.55,No
female,48.0,False,1,0,1,A,Cherbourg,39.6,Yes
male,48.0,True,0,0,1,C,Cherbourg,227.525,No
female,39.0,False,1,1,1,E,Southampton,79.65,Yes
female,36.0,False,1,0,3,C,Southampton,17.4,Yes
male,36.0,True,0,0,3,C,Queenstown,7.75,No
male,40.0,True,0,0,3,C,Southampton,7.8958,No
male,28.0,True,0,0,2,C,Southampton,13.5,No
male,28.0,True,0,0,3,C,Southampton,8.05,No
female,28.0,True,0,0,3,C,Southampton,8.05,No
male,24.0,False,2,0,3,C,Southampton,24.15,No
male,19.0,True,0,0,3,C,Southampton,7.8958,No
female,29.0,False,0,4,3,C,Southampton,21.075,No
male,29.0,True,0,0,3,C,Cherbourg,7.2292,No
male,32.0,True,0,0,3,C,Southampton,7.8542,Yes
male,62.0,True,0,0,2,C,Southampton,10.5,Yes
female,53.0,False,2,0,1,C,Southampton,51.4792,Yes
male,36.0,True,0,0,1,E,Southampton,26.3875,Yes
female,36.0,True,0,0,3,C,Queenstown,7.75,Yes
male,16.0,True,0,0,3,C,Southampton,8.05,No
male,19.0,True,0,0,3,C,Southampton,14.5,No
female,34.0,True,0,0,2,C,Southampton,13.0,Yes
female,39.0,False,1,0,1,E,Southampton,55.9,Yes
female,39.0,False,1,0,3,C,Cherbourg,14.4583,No
male,32.0,True,0,0,3,C,Southampton,7.925,Yes
female,25.0,False,1,1,2,C,Southampton,30.0,Yes
female,39.0,False,1,1,1,C,Cherbourg,110.8833,Yes
male,54.0,True,0,0,2,C,Southampton,26.0,No
male,36.0,True,0,0,1,A,Cherbourg,40.125,No
male,36.0,True,0,0,3,C,Cherbourg,8.7125,No
female,18.0,False,0,2,1,E,Southampton,79.65,Yes
male,47.0,True,0,0,2,C,Southampton,15.0,No
male,60.0,False,1,1,1,B,Cherbourg,79.2,Yes
male,22.0,True,0,0,3,C,Southampton,8.05,No
male,22.0,True,0,0,3,C,Southampton,8.05,No
male,35.0,True,0,0,3,C,Southampton,7.125,No
female,52.0,False,1,0,1,D,Cherbourg,78.2667,Yes
male,47.0,True,0,0,3,C,Southampton,7.25,No
female,47.0,False,0,2,3,C,Queenstown,7.75,No
male,37.0,False,1,0,2,C,Southampton,26.0,No
male,36.0,False,1,1,3,C,Southampton,24.15,No
female,36.0,True,0,0,2,C,Southampton,33.0,Yes
male,49.0,True,0,0,3,C,Southampton,0.0,No
male,49.0,True,0,0,3,C,Cherbourg,7.225,No
male,49.0,False,1,0,1,A,Cherbourg,56.9292,Yes
female,24.0,False,2,1,2,C,Southampton,27.0,Yes
male,24.0,True,0,0,3,C,Southampton,7.8958,No
male,24.0,True,0,0,1,C,Southampton,42.4,No
male,44.0,True,0,0,3,C,Southampton,8.05,No
male,35.0,True,0,0,1,C,Cherbourg,26.55,Yes
male,36.0,False,1,0,3,C,Southampton,15.55,No
male,30.0,True,0,0,3,C,Southampton,7.8958,No
male,27.0,True,0,0,1,C,Southampton,30.5,Yes
female,22.0,False,1,2,2,C,Cherbourg,41.5792,Yes
female,40.0,True,0,0,1,C,Southampton,153.4625,Yes
female,39.0,False,1,5,3,C,Southampton,31.275,No
male,39.0,True,0,0,3,C,Southampton,7.05,No
female,39.0,False,1,0,3,C,Queenstown,15.5,Yes
male,39.0,True,0,0,3,C,Queenstown,7.75,No
male,35.0,True,0,0,3,C,Southampton,8.05,No
female,24.0,False,1,2,2,C,Southampton,65.0,Yes
male,34.0,False,1,1,3,C,Southampton,14.4,No
female,26.0,False,1,0,3,C,Southampton,16.1,No
female,4.0,False,2,1,2,F,Southampton,39.0,Yes
male,26.0,True,0,0,2,C,Southampton,10.5,No
male,27.0,False,1,0,3,C,Cherbourg,14.4542,No
male,42.0,False,1,0,1,D,Southampton,52.5542,Yes
male,20.0,False,1,1,3,C,Cherbourg,15.7417,Yes
male,21.0,True,0,0,3,C,Southampton,7.8542,No
male,21.0,True,0,0,3,C,Southampton,16.1,No
male,61.0,True,0,0,1,D,Southampton,32.3208,No
male,57.0,True,0,0,2,C,Queenstown,12.35,No
female,21.0,True,0,0,1,D,Southampton,77.9583,Yes
male,26.0,True,0,0,3,C,Southampton,7.8958,No
male,26.0,True,0,0,3,C,Queenstown,7.7333,No
male,80.0,True,0,0,1,A,Southampton,30.0,Yes
male,51.0,True,0,0,3,C,Southampton,7.0542,No
male,32.0,True,0,0,1,B,Cherbourg,30.5,Yes
male,32.0,True,0,0,1,C,Southampton,0.0,No
female,9.0,False,3,2,3,C,Southampton,27.9,No
female,28.0,True,0,0,2,C,Southampton,13.0,Yes
male,32.0,True,0,0,3,C,Southampton,7.925,No
male,31.0,False,1,1,2,C,Southampton,26.25,No
female,41.0,False,0,5,3,C,Southampton,39.6875,No
male,41.0,False,1,0,3,C,Southampton,16.1,No
male,20.0,True,0,0,3,C,Southampton,7.8542,No
female,24.0,True,0,0,1,B,Cherbourg,69.3,Yes
female,2.0,False,3,2,3,C,Southampton,27.9,No
male,2.0,True,0,0,3,C,Southampton,56.4958,Yes
female,0.75,False,2,1,3,C,Cherbourg,19.2583,Yes
male,48.0,False,1,0,1,D,Cherbourg,76.7292,Yes
male,19.0,True,0,0,3,C,Southampton,7.8958,No
male,56.0,True,0,0,1,A,Cherbourg,35.5,Yes
male,56.0,True,0,0,3,C,Southampton,7.55,No
female,23.0,True,0,0,3,C,Southampton,7.55,Yes
male,23.0,True,0,0,3,C,Southampton,7.8958,No
female,18.0,False,0,1,2,C,Southampton,23.0,Yes
male,21.0,True,0,0,3,C,Southampton,8.4333,No
female,21.0,True,0,0,3,C,Queenstown,7.8292,Yes
female,18.0,True,0,0,3,C,Queenstown,6.75,No
male,24.0,False,2,0,2,C,Southampton,73.5,No
male,24.0,True,0,0,3,C,Southampton,7.8958,No
female,32.0,False,1,1,3,C,Queenstown,15.5,No
male,23.0,True,0,0,2,C,Southampton,13.0,No
male,58.0,False,0,2,1,D,Cherbourg,113.275,No
male,50.0,False,2,0,1,C,Southampton,133.65,Yes
male,40.0,True,0,0,3,C,Cherbourg,7.225,No
male,47.0,True,0,0,1,E,Southampton,25.5875,No
male,36.0,True,0,0,3,C,Southampton,7.4958,No
male,20.0,False,1,0,3,C,Southampton,7.925,Yes
male,32.0,False,2,0,2,C,Southampton,73.5,No
male,25.0,True,0,0,2,C,Southampton,13.0,No
male,25.0,True,0,0,3,C,Southampton,7.775,No
male,43.0,True,0,0,3,C,Southampton,8.05,No
female,43.0,False,1,0,1,C,Southampton,52.0,Yes
female,40.0,False,1,1,2,C,Southampton,39.0,Yes
male,31.0,False,1,0,1,B,Southampton,52.0,No
male,70.0,True,0,0,2,C,Southampton,10.5,No
male,31.0,True,0,0,2,C,Southampton,13.0,Yes
male,31.0,True,0,0,2,C,Southampton,0.0,No
male,18.0,True,0,0,3,C,Southampton,7.775,No
male,24.5,True,0,0,3,C,Southampton,8.05,No
female,18.0,True,0,0,3,C,Southampton,9.8417,Yes
female,43.0,False,1,6,3,C,Southampton,46.9,No
male,36.0,False,0,1,1,B,Cherbourg,512.3292,Yes
female,36.0,True,0,0,3,C,Queenstown,8.1375,No
male,27.0,True,0,0,1,D,Cherbourg,76.7292,Yes
male,20.0,True,0,0,3,C,Southampton,9.225,No
male,14.0,False,5,2,3,C,Southampton,46.9,No
male,60.0,False,1,1,2,C,Southampton,39.0,No
male,25.0,False,1,2,2,C,Cherbourg,41.5792,No
male,14.0,False,4,1,3,C,Southampton,39.6875,No
male,19.0,True,0,0,3,C,Southampton,10.1708,No
male,18.0,True,0,0,3,C,Southampton,7.7958,No
female,15.0,False,0,1,1,B,Southampton,211.3375,Yes
male,31.0,False,1,0,1,B,Southampton,57.0,Yes
female,4.0,False,0,1,3,C,Cherbourg,13.4167,Yes
male,4.0,True,0,0,3,C,Southampton,56.4958,Yes
male,25.0,True,0,0,3,C,Cherbourg,7.225,No
male,60.0,True,0,0,1,C,Southampton,26.55,No
male,52.0,True,0,0,2,C,Southampton,13.5,No
male,44.0,True,0,0,3,C,Southampton,8.05,No
female,44.0,True,0,0,3,C,Queenstown,7.7333,Yes
male,49.0,False,1,1,1,C,Cherbourg,110.8833,No
male,42.0,True,0,0,3,F,Southampton,7.65,No
female,18.0,False,1,0,1,C,Cherbourg,227.525,Yes
male,35.0,True,0,0,1,E,Southampton,26.2875,Yes
female,18.0,False,0,1,3,C,Cherbourg,14.4542,No
male,25.0,True,0,0,3,C,Queenstown,7.7417,No
male,26.0,False,1,0,3,C,Southampton,7.8542,No
male,39.0,True,0,0,2,C,Southampton,26.0,No
female,45.0,True,0,0,2,C,Southampton,13.5,Yes
male,42.0,True,0,0,1,E,Southampton,26.2875,Yes
female,22.0,True,0,0,1,C,Southampton,151.55,Yes
male,22.0,False,1,1,3,C,Cherbourg,15.2458,Yes
female,24.0,True,0,0,1,C,Cherbourg,49.5042,Yes
male,24.0,True,0,0,1,C,Southampton,26.55,No
male,48.0,False,1,0,1,C,Southampton,52.0,Yes
male,29.0,True,0,0,3,C,Southampton,9.4833,No
male,52.0,True,0,0,2,C,Southampton,13.0,No
male,19.0,True,0,0,3,F,Southampton,7.65,No
female,38.0,True,0,0,1,C,Cherbourg,227.525,Yes
female,27.0,True,0,0,2,E,Southampton,10.5,Yes
male,27.0,True,0,0,3,C,Queenstown,15.5,No
male,33.0,True,0,0,3,C,Southampton,7.775,No
female,6.0,False,0,1,2,C,Southampton,33.0,Yes
male,17.0,False,1,0,3,C,Southampton,7.0542,No
male,34.0,True,0,0,2,C,Southampton,13.0,No
male,50.0,True,0,0,2,C,Southampton,13.0,No
male,27.0,False,1,0,1,E,Southampton,53.1,Yes
male,20.0,True,0,0,3,C,Southampton,8.6625,No
female,30.0,False,3,0,2,C,Southampton,21.0,Yes
female,30.0,True,0,0,3,C,Queenstown,7.7375,Yes
male,25.0,False,1,0,2,C,Southampton,26.0,No
female,25.0,False,1,0,3,C,Southampton,7.925,No
female,29.0,True,0,0,1,B,Southampton,211.3375,Yes
male,11.0,True,0,0,3,C,Cherbourg,18.7875,No
male,11.0,True,0,0,2,C,Southampton,0.0,No
male,23.0,True,0,0,2,C,Southampton,13.0,No
male,23.0,True,0,0,2,C,Southampton,13.0,No
male,28.5,True,0,0,3,C,Southampton,16.1,No
female,48.0,False,1,3,3,C,Southampton,34.375,No
male,35.0,True,0,0,1,B,Cherbourg,512.3292,Yes
male,35.0,True,0,0,3,C,Southampton,7.8958,No
male,35.0,True,0,0,3,C,Southampton,7.8958,No
male,35.0,True,0,0,1,D,Southampton,30.0,Yes
male,36.0,False,1,0,1,C,Southampton,78.85,No
female,21.0,False,2,2,1,B,Cherbourg,262.375,Yes
male,24.0,False,1,0,3,C,Southampton,16.1,No
male,31.0,True,0,0,3,C,Southampton,7.925,Yes
male,70.0,False,1,1,1,B,Southampton,71.0,No
male,16.0,False,1,1,3,C,Southampton,20.25,No
female,30.0,True,0,0,2,C,Southampton,13.0,Yes
male,19.0,False,1,0,1,D,Southampton,53.1,No
male,31.0,True,0,0,3,C,Queenstown,7.75,No
female,4.0,False,1,1,2,C,Southampton,23.0,Yes
male,6.0,False,0,1,3,E,Southampton,12.475,Yes
male,33.0,True,0,0,3,C,Southampton,9.5,No
male,23.0,True,0,0,3,C,Southampton,7.8958,No
female,48.0,False,1,2,2,C,Southampton,65.0,Yes
male,0.67,False,1,1,2,C,Southampton,14.5,Yes
male,28.0,True,0,0,3,C,Southampton,7.7958,No
male,18.0,True,0,0,2,C,Southampton,11.5,No
male,34.0,True,0,0,3,C,Southampton,8.05,No
female,33.0,True,0,0,1,B,Southampton,86.5,Yes
male,33.0,True,0,0,3,C,Southampton,14.5,No
male,41.0,True,0,0,3,C,Southampton,7.125,No
male,20.0,True,0,0,3,C,Cherbourg,7.2292,Yes
female,36.0,False,1,2,1,B,Southampton,120.0,Yes
male,16.0,True,0,0,3,C,Southampton,7.775,No
female,51.0,False,1,0,1,D,Southampton,77.9583,Yes
male,51.0,True,0,0,1,C,Cherbourg,39.6,No
female,30.5,True,0,0,3,C,Queenstown,7.75,No
male,30.5,False,1,0,3,C,Queenstown,24.15,No
male,32.0,True,0,0,3,C,Southampton,8.3625,No
male,24.0,True,0,0,3,C,Southampton,9.5,No
male,48.0,True,0,0,3,C,Southampton,7.8542,No
female,57.0,True,0,0,2,E,Southampton,10.5,No
male,57.0,True,0,0,3,C,Cherbourg,7.225,No
female,54.0,False,1,3,2,C,Southampton,23.0,Yes
male,18.0,True,0,0,3,C,Southampton,7.75,No
male,18.0,True,0,0,3,F,Queenstown,7.75,No
female,5.0,True,0,0,3,C,Southampton,12.475,Yes
male,5.0,True,0,0,3,C,Queenstown,7.7375,No
female,43.0,False,0,1,1,B,Southampton,211.3375,Yes
female,13.0,True,0,0,3,C,Cherbourg,7.2292,Yes
female,17.0,False,1,0,1,B,Southampton,57.0,Yes
male,29.0,True,0,0,1,D,Southampton,30.0,No
male,29.0,False,1,2,3,C,Southampton,23.45,No
male,25.0,True,0,0,3,C,Southampton,7.05,No
male,25.0,True,0,0,3,C,Southampton,7.25,No
female,18.0,True,0,0,3,C,Southampton,7.4958,Yes
male,8.0,False,4,1,3,C,Queenstown,29.125,No
male,1.0,False,1,2,3,C,Southampton,20.575,Yes
male,46.0,True,0,0,1,B,Cherbourg,79.2,No
male,46.0,True,0,0,3,C,Queenstown,7.75,No
male,16.0,True,0,0,2,C,Southampton,26.0,No
female,16.0,False,8,2,3,C,Southampton,69.55,No
male,16.0,True,0,0,1,C,Cherbourg,30.6958,No
male,25.0,True,0,0,3,C,Southampton,7.8958,No
male,39.0,True,0,0,2,C,Southampton,13.0,No
female,49.0,True,0,0,1,D,Southampton,25.9292,Yes
female,31.0,True,0,0,3,C,Southampton,8.6833,Yes
male,30.0,True,0,0,3,C,Cherbourg,7.2292,No
female,30.0,False,1,1,3,C,Southampton,24.15,No
male,34.0,True,0,0,2,C,Southampton,13.0,No
female,31.0,False,1,1,2,C,Southampton,26.25,Yes
male,11.0,False,1,2,1,B,Southampton,120.0,Yes
male,0.42,False,0,1,3,C,Cherbourg,8.5167,Yes
male,27.0,True,0,0,3,C,Southampton,6.975,Yes
male,31.0,True,0,0,3,C,Southampton,7.775,No
male,39.0,True,0,0,1,A,Southampton,0.0,No
female,18.0,True,0,0,3,C,Southampton,7.775,No
male,39.0,True,0,0,2,C,Southampton,13.0,No
female,33.0,False,1,0,1,E,Southampton,53.1,Yes
male,26.0,True,0,0,3,C,Southampton,7.8875,No
male,39.0,True,0,0,3,C,Southampton,24.15,No
male,35.0,True,0,0,2,C,Southampton,10.5,No
female,6.0,False,4,2,3,C,Southampton,31.275,No
male,30.5,True,0,0,3,C,Southampton,8.05,No
male,30.5,True,0,0,1,B,Southampton,0.0,No
female,23.0,True,0,0,3,C,Southampton,7.925,No
male,31.0,False,1,1,2,C,Cherbourg,37.0042,No
male,43.0,True,0,0,3,C,Southampton,6.45,No
male,10.0,False,3,2,3,C,Southampton,27.9,No
female,52.0,False,1,1,1,B,Southampton,93.5,Yes
male,27.0,True,0,0,3,C,Southampton,8.6625,Yes
male,38.0,True,0,0,1,C,Southampton,0.0,No
female,27.0,False,0,1,3,E,Southampton,12.475,Yes
male,2.0,False,4,1,3,C,Southampton,39.6875,No
male,2.0,True,0,0,3,C,Queenstown,6.95,No
male,2.0,True,0,0,3,C,Southampton,56.4958,No
male,1.0,False,0,2,2,C,Cherbourg,37.0042,Yes
male,1.0,True,0,0,3,C,Queenstown,7.75,Yes
female,62.0,True,0,0,1,B,Other,80.0,Yes
female,15.0,False,1,0,3,C,Cherbourg,14.4542,Yes
male,0.83,False,1,1,2,C,Southampton,18.75,Yes
male,0.83,True,0,0,3,C,Cherbourg,7.2292,No
male,23.0,True,0,0,3,C,Southampton,7.8542,No
male,18.0,True,0,0,3,C,Southampton,8.3,No
female,39.0,False,1,1,1,E,Cherbourg,83.1583,Yes
male,21.0,True,0,0,3,C,Southampton,8.6625,No
male,21.0,True,0,0,3,C,Southampton,8.05,No
male,32.0,True,0,0,3,C,Southampton,56.4958,Yes
male,32.0,True,0,0,1,C,Cherbourg,29.7,Yes
male,20.0,True,0,0,3,C,Southampton,7.925,No
male,16.0,True,0,0,2,C,Southampton,10.5,No
female,30.0,True,0,0,1,C,Cherbourg,31.0,Yes
male,34.5,True,0,0,3,C,Cherbourg,6.4375,No
male,17.0,True,0,0,3,C,Southampton,8.6625,No
male,42.0,True,0,0,3,C,Southampton,7.55,No
male,42.0,False,8,2,3,C,Southampton,69.55,No
male,35.0,True,0,0,3,C,Cherbourg,7.8958,No
male,28.0,False,0,1,2,C,Southampton,33.0,No
female,28.0,False,1,0,1,C,Cherbourg,89.1042,Yes
male,4.0,False,4,2,3,C,Southampton,31.275,No
male,74.0,True,0,0,3,C,Southampton,7.775,No
female,9.0,False,1,1,3,C,Cherbourg,15.2458,No
female,16.0,False,0,1,1,D,Southampton,39.4,Yes
female,44.0,False,1,0,2,C,Southampton,26.0,No
female,18.0,False,0,1,3,C,Southampton,9.35,Yes
female,45.0,False,1,1,1,C,Southampton,164.8667,Yes
male,51.0,True,0,0,1,E,Southampton,26.55,Yes
female,24.0,False,0,3,3,C,Cherbourg,19.2583,Yes
male,24.0,True,0,0,3,C,Cherbourg,7.2292,No
male,41.0,False,2,0,3,C,Southampton,14.1083,No
male,21.0,False,1,0,2,C,Southampton,11.5,No
female,48.0,True,0,0,1,D,Southampton,25.9292,Yes
female,48.0,False,8,2,3,C,Southampton,69.55,No
male,24.0,True,0,0,2,C,Southampton,13.0,No
female,42.0,True,0,0,2,C,Southampton,13.0,Yes
female,27.0,False,1,0,2,C,Cherbourg,13.8583,Yes
male,31.0,True,0,0,1,A,Southampton,50.4958,No
male,31.0,True,0,0,3,C,Southampton,9.5,No
male,4.0,False,1,1,3,C,Southampton,11.1333,Yes
male,26.0,True,0,0,3,C,Southampton,7.8958,No
female,47.0,False,1,1,1,D,Southampton,52.5542,Yes
male,33.0,True,0,0,1,B,Southampton,5.0,No
male,47.0,True,0,0,3,C,Southampton,9.0,No
female,28.0,False,1,0,2,C,Cherbourg,24.0,Yes
female,15.0,True,0,0,3,C,Cherbourg,7.225,Yes
male,20.0,True,0,0,3,C,Southampton,9.8458,No
male,19.0,True,0,0,3,C,Southampton,7.8958,No
male,19.0,True,0,0,3,C,Southampton,7.8958,No
female,56.0,False,0,1,1,C,Cherbourg,83.1583,Yes
female,25.0,False,0,1,2,C,Southampton,26.0,Yes
male,33.0,True,0,0,3,C,Southampton,7.8958,No
female,22.0,True,0,0,3,C,Southampton,10.5167,No
male,28.0,True,0,0,2,C,Southampton,10.5,No
male,25.0,True,0,0,3,C,Southampton,7.05,No
female,39.0,False,0,5,3,C,Queenstown,29.125,No
male,27.0,True,0,0,2,C,Southampton,13.0,No
female,19.0,True,0,0,1,B,Southampton,30.0,Yes
female,19.0,False,1,2,3,C,Southampton,23.45,No
male,26.0,True,0,0,1,C,Cherbourg,30.0,Yes
male,32.0,True,0,0,3,C,Queenstown,7.75,No
