sexo,edad,conyuge_a_bordo,hijos_a_bordo,clase,tarifa,puerto_embarque,cubierta,sobrevivio?
Hombre,22,1,0,Tercera,7.25,Southampton,U,No
Mujer,38,1,0,Primera,71.28,Cherbourg,C,Si
Mujer,26,0,0,Tercera,7.93,Southampton,U,Si
Mujer,35,1,0,Primera,53.1,Southampton,C,Si
Hombre,35,0,0,Tercera,8.05,Southampton,U,No
Hombre,29,0,0,Tercera,8.46,Queenstown,U,No
Hombre,54,0,0,Primera,51.86,Southampton,E,No
Hombre,2,3,1,Tercera,21.08,Southampton,U,No
Mujer,27,0,2,Tercera,11.13,Southampton,U,Si
Mujer,14,1,0,Segunda,30.07,Cherbourg,U,Si
Mujer,4,1,1,Tercera,16.7,Southampton,G,Si
Mujer,58,0,0,Primera,26.55,Southampton,C,Si
Hombre,20,0,0,Tercera,8.05,Southampton,U,No
Hombre,39,1,5,Tercera,31.28,Southampton,U,No
Mujer,14,0,0,Tercera,7.85,Southampton,U,No
Mujer,55,0,0,Segunda,16,Southampton,U,Si
Hombre,2,4,1,Tercera,29.13,Queenstown,U,No
Hombre,29,0,0,Segunda,13,Southampton,U,Si
Mujer,31,1,0,Tercera,18,Southampton,U,No
Mujer,29,0,0,Tercera,7.23,Cherbourg,U,Si
Hombre,35,0,0,Segunda,26,Southampton,U,No
Hombre,34,0,0,Segunda,13,Southampton,D,Si
Mujer,15,0,0,Tercera,8.03,Queenstown,U,Si
Hombre,28,0,0,Primera,35.5,Southampton,A,Si
Mujer,8,3,1,Tercera,21.08,Southampton,U,No
Mujer,38,1,5,Tercera,31.39,Southampton,U,Si
Hombre,29,0,0,Tercera,7.23,Cherbourg,U,No
Hombre,19,3,2,Primera,263,Southampton,C,No
Mujer,29,0,0,Tercera,7.88,Queenstown,U,Si
Hombre,29,0,0,Tercera,7.9,Southampton,U,No
Hombre,40,0,0,Primera,27.72,Cherbourg,U,No
Mujer,29,1,0,Primera,146.52,Cherbourg,B,Si
Mujer,29,0,0,Tercera,7.75,Queenstown,U,Si
Hombre,66,0,0,Segunda,10.5,Southampton,U,No
Hombre,28,1,0,Primera,82.17,Cherbourg,U,No
Hombre,42,1,0,Primera,52,Southampton,U,No
Hombre,29,0,0,Tercera,7.23,Cherbourg,U,Si
Hombre,21,0,0,Tercera,8.05,Southampton,U,No
Mujer,18,2,0,Tercera,18,Southampton,U,No
Mujer,14,1,0,Tercera,11.24,Cherbourg,U,Si
Mujer,40,1,0,Tercera,9.48,Southampton,U,No
Mujer,27,1,0,Segunda,21,Southampton,U,No
Hombre,29,0,0,Tercera,7.9,Cherbourg,U,No
Mujer,3,1,2,Segunda,41.58,Cherbourg,U,Si
Mujer,19,0,0,Tercera,7.88,Queenstown,U,Si
Hombre,29,0,0,Tercera,8.05,Southampton,U,No
Hombre,29,1,0,Tercera,15.5,Queenstown,U,No
Mujer,29,0,0,Tercera,7.75,Queenstown,U,Si
Hombre,29,2,0,Tercera,21.68,Cherbourg,U,No
Mujer,18,1,0,Tercera,17.8,Southampton,U,No
Hombre,7,4,1,Tercera,39.69,Southampton,U,No
Hombre,21,0,0,Tercera,7.8,Southampton,U,No
Mujer,49,1,0,Primera,76.73,Cherbourg,D,Si
Mujer,29,1,0,Segunda,26,Southampton,U,Si
Hombre,65,0,1,Primera,61.98,Cherbourg,B,No
Hombre,29,0,0,Primera,35.5,Southampton,C,Si
Mujer,21,0,0,Segunda,10.5,Southampton,U,Si
Hombre,28,0,0,Tercera,7.23,Cherbourg,U,No
Mujer,5,1,2,Segunda,27.75,Southampton,U,Si
Hombre,11,5,2,Tercera,46.9,Southampton,U,No
Hombre,22,0,0,Tercera,7.23,Cherbourg,U,No
Mujer,38,0,0,Primera,80,Southampton,B,Si
Hombre,45,1,0,Primera,83.48,Southampton,C,No
Hombre,4,3,2,Tercera,27.9,Southampton,U,No
Hombre,29,0,0,Primera,27.72,Cherbourg,U,No
Hombre,29,1,1,Tercera,15.25,Cherbourg,U,Si
Mujer,29,0,0,Segunda,10.5,Southampton,F,Si
Hombre,19,0,0,Tercera,8.16,Southampton,U,No
Mujer,17,4,2,Tercera,7.93,Southampton,U,Si
Hombre,26,2,0,Tercera,8.66,Southampton,U,No
Hombre,32,0,0,Segunda,10.5,Southampton,U,No
Mujer,16,5,2,Tercera,46.9,Southampton,U,No
Hombre,21,0,0,Segunda,73.5,Southampton,U,No
Hombre,26,1,0,Tercera,14.45,Cherbourg,U,No
Hombre,32,0,0,Tercera,56.5,Southampton,U,Si
Hombre,25,0,0,Tercera,7.65,Southampton,F,No
Hombre,29,0,0,Tercera,7.9,Southampton,U,No
Hombre,29,0,0,Tercera,8.05,Southampton,U,No
Hombre,0,0,2,Segunda,29,Southampton,U,Si
Mujer,30,0,0,Tercera,12.48,Southampton,U,Si
Hombre,22,0,0,Tercera,9,Southampton,U,No
Hombre,29,0,0,Tercera,9.5,Southampton,U,Si
Mujer,29,0,0,Tercera,7.79,Queenstown,U,Si
Hombre,28,0,0,Primera,47.1,Southampton,U,No
Mujer,17,0,0,Segunda,10.5,Southampton,U,Si
Mujer,33,3,0,Tercera,15.85,Southampton,U,Si
Hombre,16,1,3,Tercera,34.38,Southampton,U,No
Hombre,29,0,0,Tercera,8.05,Southampton,U,No
Mujer,23,3,2,Primera,263,Southampton,C,Si
Hombre,24,0,0,Tercera,8.05,Southampton,U,No
Hombre,29,0,0,Tercera,8.05,Southampton,U,No
Hombre,20,0,0,Tercera,7.85,Southampton,U,No
Hombre,46,1,0,Primera,61.18,Southampton,E,No
Hombre,26,1,2,Tercera,20.58,Southampton,U,No
Hombre,59,0,0,Tercera,7.25,Southampton,U,No
Hombre,29,0,0,Tercera,8.05,Southampton,U,No
Hombre,71,0,0,Primera,34.65,Cherbourg,A,No
Hombre,23,0,1,Primera,63.36,Cherbourg,D,Si
Mujer,34,0,1,Segunda,23,Southampton,U,Si
Hombre,34,1,0,Segunda,26,Southampton,U,No
Mujer,28,0,0,Tercera,7.9,Southampton,U,No
Hombre,29,0,0,Tercera,7.9,Southampton,U,No
Hombre,21,0,1,Primera,77.29,Southampton,D,No
Hombre,33,0,0,Tercera,8.65,Southampton,U,No
Hombre,37,2,0,Tercera,7.93,Southampton,U,No
Hombre,28,0,0,Tercera,7.9,Southampton,U,No
Mujer,21,0,0,Tercera,7.65,Southampton,U,Si
Hombre,29,0,0,Tercera,7.78,Southampton,U,Si
Hombre,38,0,0,Tercera,7.9,Southampton,U,No
Mujer,29,1,0,Tercera,24.15,Queenstown,U,Si
Hombre,47,0,0,Primera,52,Southampton,C,No
Mujer,14,1,0,Tercera,14.45,Cherbourg,U,No
Hombre,22,0,0,Tercera,8.05,Southampton,U,No
Mujer,20,1,0,Tercera,9.83,Southampton,U,No
Mujer,17,0,0,Tercera,14.46,Cherbourg,U,No
Hombre,21,0,0,Tercera,7.93,Southampton,U,No
Hombre,70,0,0,Tercera,7.75,Queenstown,U,No
Hombre,29,1,0,Segunda,21,Southampton,U,No
Hombre,24,0,1,Primera,247.52,Cherbourg,B,No
Mujer,2,4,2,Tercera,31.28,Southampton,U,No
Hombre,21,2,0,Segunda,73.5,Southampton,U,No
Hombre,29,0,0,Tercera,8.05,Southampton,U,No
Hombre,32,1,0,Segunda,30.07,Cherbourg,U,No
Mujer,32,0,0,Segunda,13,Southampton,E,Si
Hombre,54,0,1,Primera,77.29,Southampton,D,No
Hombre,12,1,0,Tercera,11.24,Cherbourg,U,Si
Hombre,29,0,0,Tercera,7.75,Queenstown,U,No
Hombre,24,0,0,Tercera,7.14,Southampton,U,Si
Mujer,29,1,1,Tercera,22.36,Cherbourg,F,Si
Hombre,45,0,0,Tercera,6.98,Southampton,U,No
Hombre,33,0,0,Tercera,7.9,Cherbourg,U,No
Hombre,20,0,0,Tercera,7.05,Southampton,U,No
Mujer,47,1,0,Tercera,14.5,Southampton,U,No
Mujer,29,1,0,Segunda,26,Southampton,U,Si
Hombre,25,0,0,Segunda,13,Southampton,U,No
Hombre,23,0,0,Segunda,15.05,Cherbourg,U,No
Mujer,19,0,2,Primera,26.28,Southampton,D,Si
Hombre,37,1,0,Primera,53.1,Southampton,C,No
Hombre,16,0,0,Tercera,9.22,Southampton,U,No
Hombre,24,0,0,Primera,79.2,Cherbourg,B,No
Mujer,29,0,2,Tercera,15.25,Cherbourg,U,No
Mujer,22,0,0,Tercera,7.75,Southampton,U,Si
Mujer,24,1,0,Tercera,15.85,Southampton,U,Si
Hombre,19,0,0,Tercera,6.75,Queenstown,U,No
Hombre,18,0,0,Segunda,11.5,Southampton,U,No
Hombre,19,1,1,Segunda,36.75,Southampton,U,No
Hombre,27,0,0,Tercera,7.8,Southampton,U,Si
Mujer,9,2,2,Tercera,34.38,Southampton,U,No
Hombre,36,0,2,Segunda,26,Southampton,F,No
Hombre,42,0,0,Segunda,13,Southampton,U,No
Hombre,51,0,0,Segunda,12.53,Southampton,U,No
Mujer,22,1,0,Primera,66.6,Southampton,C,Si
Hombre,55,0,0,Tercera,8.05,Southampton,U,No
Hombre,40,0,2,Tercera,14.5,Southampton,U,No
Hombre,29,0,0,Tercera,7.31,Southampton,U,No
Hombre,51,0,1,Primera,61.38,Cherbourg,U,No
Mujer,16,0,0,Tercera,7.73,Queenstown,U,Si
Hombre,30,0,0,Tercera,8.05,Southampton,U,No
Hombre,29,0,0,Tercera,8.66,Southampton,U,No
Hombre,29,8,2,Tercera,69.55,Southampton,U,No
Hombre,44,0,1,Tercera,16.1,Southampton,U,No
Mujer,40,0,0,Segunda,15.75,Southampton,U,Si
Hombre,26,0,0,Tercera,7.78,Southampton,U,No
Hombre,17,0,0,Tercera,8.66,Southampton,U,No
Hombre,1,4,1,Tercera,39.69,Southampton,U,No
Hombre,9,0,2,Tercera,20.53,Southampton,U,Si
Mujer,29,0,1,Primera,55,Southampton,E,Si
Mujer,45,1,4,Tercera,27.9,Southampton,U,No
Hombre,29,0,0,Primera,25.93,Southampton,U,No
Hombre,28,0,0,Tercera,56.5,Southampton,U,No
Hombre,61,0,0,Primera,33.5,Southampton,B,No
Hombre,4,4,1,Tercera,29.13,Queenstown,U,No
Mujer,1,1,1,Tercera,11.13,Southampton,U,Si
Hombre,21,0,0,Tercera,7.93,Southampton,U,No
Hombre,56,0,0,Primera,30.7,Cherbourg,A,No
Hombre,18,1,1,Tercera,7.85,Southampton,U,No
Hombre,29,3,1,Tercera,25.47,Southampton,U,No
Mujer,50,0,0,Primera,28.71,Cherbourg,C,No
Hombre,30,0,0,Segunda,13,Southampton,U,No
Hombre,36,0,0,Tercera,0,Southampton,U,No
Mujer,29,8,2,Tercera,69.55,Southampton,U,No
Hombre,29,0,0,Segunda,15.05,Cherbourg,U,No
Hombre,9,4,2,Tercera,31.39,Southampton,U,No
Hombre,1,2,1,Segunda,39,Southampton,F,Si
Mujer,4,0,2,Tercera,22.03,Southampton,U,Si
Hombre,29,0,0,Primera,50,Southampton,A,No
Mujer,29,1,0,Tercera,15.5,Queenstown,U,Si
Hombre,45,0,0,Primera,26.55,Southampton,U,Si
Hombre,40,1,1,Tercera,15.5,Queenstown,U,No
Hombre,36,0,0,Tercera,7.9,Southampton,U,No
Mujer,32,0,0,Segunda,13,Southampton,U,Si
Hombre,19,0,0,Segunda,13,Southampton,U,No
Mujer,19,1,0,Tercera,7.85,Southampton,U,Si
Hombre,3,1,1,Segunda,26,Southampton,F,Si
Mujer,44,0,0,Primera,27.72,Cherbourg,B,Si
Mujer,58,0,0,Primera,146.52,Cherbourg,B,Si
Hombre,29,0,0,Tercera,7.75,Queenstown,U,No
Hombre,42,0,1,Tercera,8.4,Southampton,U,No
Mujer,29,0,0,Tercera,7.75,Queenstown,U,Si
Mujer,24,0,0,Segunda,13,Southampton,U,No
Hombre,28,0,0,Tercera,9.5,Southampton,U,No
Hombre,29,8,2,Tercera,69.55,Southampton,U,No
Hombre,34,0,0,Tercera,6.5,Southampton,U,No
Hombre,45,0,0,Tercera,7.23,Cherbourg,U,No
Hombre,18,0,0,Tercera,8.05,Southampton,U,Si
Mujer,2,0,1,Tercera,10.46,Southampton,G,No
Hombre,32,1,0,Tercera,15.85,Southampton,U,No
Hombre,26,0,0,Tercera,18.79,Cherbourg,U,Si
Mujer,16,0,0,Tercera,7.75,Queenstown,U,Si
Hombre,40,0,0,Primera,31,Cherbourg,A,Si
Hombre,24,0,0,Tercera,7.05,Southampton,U,No
Mujer,35,0,0,Segunda,21,Southampton,U,Si
Hombre,22,0,0,Tercera,7.25,Southampton,U,No
Hombre,30,0,0,Segunda,13,Southampton,U,No
Hombre,29,1,0,Tercera,7.75,Queenstown,U,No
Mujer,31,1,0,Primera,113.28,Cherbourg,D,Si
Mujer,27,0,0,Tercera,7.93,Southampton,U,Si
Hombre,42,1,0,Segunda,27,Southampton,U,No
Mujer,32,0,0,Primera,76.29,Cherbourg,D,Si
Hombre,30,0,0,Segunda,10.5,Southampton,U,No
Hombre,16,0,0,Tercera,8.05,Southampton,U,Si
Hombre,27,0,0,Segunda,13,Southampton,U,No
Hombre,51,0,0,Tercera,8.05,Southampton,U,No
Hombre,29,0,0,Tercera,7.9,Southampton,U,No
Hombre,38,1,0,Primera,90,Southampton,C,Si
Hombre,22,0,0,Tercera,9.35,Southampton,U,No
Hombre,19,0,0,Segunda,10.5,Southampton,U,Si
Hombre,20,0,0,Tercera,7.25,Southampton,U,No
Hombre,18,0,0,Segunda,13,Southampton,U,No
Mujer,29,3,1,Tercera,25.47,Southampton,U,No
Mujer,35,1,0,Primera,83.48,Southampton,C,Si
Hombre,29,0,0,Tercera,7.78,Southampton,U,No
Hombre,59,0,0,Segunda,13.5,Southampton,U,No
Mujer,5,4,2,Tercera,31.39,Southampton,U,Si
Hombre,24,0,0,Segunda,10.5,Southampton,U,No
Mujer,29,0,0,Tercera,7.55,Southampton,U,No
Hombre,44,1,0,Segunda,26,Southampton,U,No
Mujer,8,0,2,Segunda,26.25,Southampton,U,Si
Hombre,19,0,0,Segunda,10.5,Southampton,U,No
Hombre,33,0,0,Segunda,12.28,Southampton,U,No
Mujer,29,1,0,Tercera,14.45,Cherbourg,U,No
Mujer,29,1,0,Tercera,15.5,Queenstown,U,Si
Hombre,29,0,0,Segunda,10.5,Southampton,U,No
Hombre,22,0,0,Tercera,7.13,Southampton,U,No
Hombre,30,0,0,Tercera,7.23,Cherbourg,U,No
Hombre,44,2,0,Primera,90,Queenstown,C,No
Mujer,25,0,0,Tercera,7.78,Southampton,U,No
Mujer,24,0,2,Segunda,14.5,Southampton,U,Si
Hombre,37,1,1,Primera,52.55,Southampton,D,Si
Hombre,54,1,0,Segunda,26,Southampton,U,No
Hombre,29,0,0,Tercera,7.25,Southampton,U,No
Mujer,29,1,1,Tercera,10.46,Southampton,G,No
Hombre,62,0,0,Primera,26.55,Southampton,C,No
Hombre,30,1,0,Tercera,16.1,Southampton,U,No
Mujer,41,0,2,Tercera,20.21,Southampton,U,No
Mujer,29,0,2,Tercera,15.25,Cherbourg,U,Si
Mujer,29,0,0,Primera,79.2,Cherbourg,U,Si
Mujer,30,0,0,Primera,86.5,Southampton,B,Si
Mujer,35,0,0,Primera,512.33,Cherbourg,U,Si
Mujer,50,0,1,Segunda,26,Southampton,U,Si
Hombre,29,0,0,Tercera,7.75,Queenstown,U,No
Hombre,3,4,2,Tercera,31.39,Southampton,U,Si
Hombre,52,1,1,Primera,79.65,Southampton,E,No
Hombre,40,0,0,Primera,0,Southampton,B,No
Mujer,29,0,0,Tercera,7.75,Queenstown,U,No
Hombre,36,0,0,Segunda,10.5,Southampton,U,No
Hombre,16,4,1,Tercera,39.69,Southampton,U,No
Hombre,25,1,0,Tercera,7.78,Southampton,U,Si
Mujer,58,0,1,Primera,153.46,Southampton,C,Si
Mujer,35,0,0,Primera,135.63,Southampton,C,Si
Hombre,29,0,0,Primera,31,Southampton,U,No
Hombre,25,0,0,Tercera,0,Southampton,U,Si
Mujer,41,0,1,Segunda,19.5,Southampton,U,Si
Hombre,37,0,1,Primera,29.7,Cherbourg,C,No
Mujer,29,0,0,Tercera,7.75,Queenstown,U,Si
Mujer,63,1,0,Primera,77.96,Southampton,D,Si
Mujer,45,0,0,Tercera,7.75,Southampton,U,No
Hombre,29,0,0,Segunda,0,Southampton,U,No
Hombre,7,4,1,Tercera,29.13,Queenstown,U,No
Mujer,35,1,1,Tercera,20.25,Southampton,U,Si
Hombre,65,0,0,Tercera,7.75,Queenstown,U,No
Hombre,28,0,0,Tercera,7.85,Southampton,U,No
Hombre,16,0,0,Tercera,9.5,Southampton,U,No
Hombre,19,0,0,Tercera,8.05,Southampton,U,Si
Hombre,29,0,0,Primera,26,Southampton,A,No
Hombre,33,0,0,Tercera,8.66,Cherbourg,U,No
Hombre,30,0,0,Tercera,9.5,Southampton,U,Si
Hombre,22,0,0,Tercera,7.9,Southampton,U,No
Hombre,42,0,0,Segunda,13,Southampton,U,Si
Mujer,22,0,0,Tercera,7.75,Queenstown,U,Si
Mujer,26,0,0,Primera,78.85,Southampton,U,Si
Mujer,19,1,0,Primera,91.08,Cherbourg,B,Si
Hombre,36,0,0,Segunda,12.88,Cherbourg,D,No
Mujer,24,0,0,Tercera,8.85,Southampton,U,No
Hombre,24,0,0,Tercera,7.9,Southampton,U,No
Hombre,29,0,0,Primera,27.72,Cherbourg,U,No
Hombre,23,0,0,Tercera,7.23,Cherbourg,U,No
Mujer,2,1,2,Primera,151.55,Southampton,C,No
Hombre,29,0,0,Primera,30.5,Southampton,C,Si
Mujer,50,0,1,Primera,247.52,Cherbourg,B,Si
Mujer,29,0,0,Tercera,7.75,Queenstown,U,Si
Hombre,29,2,0,Tercera,23.25,Queenstown,U,Si
Hombre,19,0,0,Tercera,0,Southampton,U,No
Mujer,29,0,0,Segunda,12.35,Queenstown,E,Si
Hombre,29,0,0,Tercera,8.05,Southampton,U,No
Hombre,0,1,2,Primera,151.55,Southampton,C,Si
Mujer,29,0,0,Primera,110.88,Cherbourg,U,Si
Mujer,17,1,0,Primera,108.9,Cherbourg,C,Si
Hombre,30,1,0,Segunda,24,Cherbourg,U,No
Mujer,30,0,0,Primera,56.93,Cherbourg,E,Si
Mujer,24,0,0,Primera,83.16,Cherbourg,C,Si
Mujer,18,2,2,Primera,262.38,Cherbourg,B,Si
Mujer,26,1,1,Segunda,26,Southampton,U,No
Hombre,28,0,0,Tercera,7.9,Southampton,U,No
Hombre,43,1,1,Segunda,26.25,Southampton,U,No
Mujer,26,0,0,Tercera,7.85,Southampton,U,Si
Mujer,24,1,0,Segunda,26,Southampton,U,Si
Hombre,54,0,0,Segunda,14,Southampton,U,No
Mujer,31,0,2,Primera,164.87,Southampton,C,Si
Mujer,40,1,1,Primera,134.5,Cherbourg,E,Si
Hombre,22,0,0,Tercera,7.25,Southampton,U,No
Hombre,27,0,0,Tercera,7.9,Southampton,U,No
Mujer,30,0,0,Segunda,12.35,Queenstown,U,Si
Mujer,22,1,1,Segunda,29,Southampton,U,Si
Hombre,29,8,2,Tercera,69.55,Southampton,U,No
Mujer,36,0,0,Primera,135.63,Cherbourg,C,Si
Hombre,61,0,0,Tercera,6.24,Southampton,U,No
Mujer,36,0,0,Segunda,13,Southampton,D,Si
Mujer,31,1,1,Tercera,20.53,Southampton,U,Si
Mujer,16,0,1,Primera,57.98,Cherbourg,B,Si
Mujer,29,2,0,Tercera,23.25,Queenstown,U,Si
Hombre,45,0,0,Primera,28.5,Southampton,C,No
Hombre,38,0,1,Primera,153.46,Southampton,C,No
Hombre,16,2,0,Tercera,18,Southampton,U,No
Mujer,29,1,0,Primera,133.65,Southampton,U,Si
Hombre,29,0,0,Tercera,7.9,Southampton,U,No
Hombre,29,1,0,Primera,66.6,Southampton,C,No
Mujer,41,0,0,Primera,134.5,Cherbourg,E,Si
Hombre,45,0,0,Tercera,8.05,Southampton,U,Si
Hombre,45,0,0,Primera,35.5,Southampton,T,No
Hombre,2,1,1,Segunda,26,Southampton,F,Si
Mujer,24,3,2,Primera,263,Southampton,C,Si
Hombre,28,0,0,Segunda,13,Southampton,U,No
Hombre,25,0,0,Segunda,13,Southampton,U,No
Hombre,36,0,0,Segunda,13,Southampton,U,No
Mujer,24,0,0,Segunda,13,Southampton,F,Si
Mujer,40,0,0,Segunda,13,Southampton,U,Si
Mujer,29,1,0,Tercera,16.1,Southampton,U,Si
Hombre,3,1,1,Tercera,15.9,Southampton,U,Si
Hombre,42,0,0,Tercera,8.66,Southampton,U,No
Hombre,23,0,0,Tercera,9.23,Southampton,U,No
Hombre,29,0,0,Primera,35,Southampton,C,No
Hombre,15,1,1,Tercera,7.23,Cherbourg,U,No
Hombre,25,1,0,Tercera,17.8,Southampton,U,No
Hombre,29,0,0,Tercera,7.23,Cherbourg,U,No
Hombre,28,0,0,Tercera,9.5,Southampton,U,No
Mujer,22,0,1,Primera,55,Southampton,E,Si
Mujer,38,0,0,Segunda,13,Southampton,U,No
Mujer,29,0,0,Tercera,7.88,Queenstown,U,Si
Mujer,29,0,0,Tercera,7.88,Queenstown,U,Si
Hombre,40,1,4,Tercera,27.9,Southampton,U,No
Hombre,29,1,0,Segunda,27.72,Cherbourg,U,No
Mujer,45,0,1,Tercera,14.45,Cherbourg,U,No
Hombre,35,0,0,Tercera,7.05,Southampton,U,No
Hombre,29,1,0,Tercera,15.5,Queenstown,U,No
Hombre,30,0,0,Tercera,7.25,Southampton,U,No
Mujer,60,1,0,Primera,75.25,Cherbourg,D,Si
Mujer,29,0,0,Tercera,7.23,Cherbourg,U,Si
Mujer,29,0,0,Tercera,7.75,Queenstown,U,Si
Mujer,24,0,0,Primera,69.3,Cherbourg,B,Si
Hombre,25,1,0,Primera,55.44,Cherbourg,E,Si
Hombre,18,1,0,Tercera,6.5,Southampton,U,No
Hombre,19,0,0,Tercera,8.05,Southampton,U,No
Hombre,22,0,0,Primera,135.63,Cherbourg,U,No
Mujer,3,3,1,Tercera,21.08,Southampton,U,No
Mujer,29,1,0,Primera,82.17,Cherbourg,U,Si
Mujer,22,0,0,Tercera,7.25,Southampton,U,Si
Hombre,27,0,2,Primera,211.5,Cherbourg,C,No
Hombre,20,0,0,Tercera,4.01,Cherbourg,U,No
Hombre,19,0,0,Tercera,7.78,Southampton,U,No
Mujer,42,0,0,Primera,227.53,Cherbourg,U,Si
Mujer,1,0,2,Tercera,15.74,Cherbourg,U,Si
Hombre,32,0,0,Tercera,7.93,Southampton,U,No
Mujer,35,1,0,Primera,52,Southampton,U,Si
Hombre,29,0,0,Tercera,7.9,Southampton,U,No
Hombre,18,0,0,Segunda,73.5,Southampton,U,No
Hombre,1,5,2,Tercera,46.9,Southampton,U,No
Mujer,36,0,0,Segunda,13,Southampton,U,Si
Hombre,29,0,0,Tercera,7.73,Queenstown,U,No
Mujer,17,0,0,Segunda,12,Cherbourg,U,Si
Hombre,36,1,2,Primera,120,Southampton,B,Si
Hombre,21,0,0,Tercera,7.8,Southampton,U,Si
Hombre,28,2,0,Tercera,7.93,Southampton,U,No
Mujer,23,1,0,Primera,113.28,Cherbourg,D,Si
Mujer,24,0,2,Tercera,16.7,Southampton,G,Si
Hombre,22,0,0,Tercera,7.8,Southampton,U,No
Mujer,31,0,0,Tercera,7.85,Southampton,U,No
Hombre,46,0,0,Segunda,26,Southampton,U,No
Hombre,23,0,0,Segunda,10.5,Southampton,U,No
Mujer,28,0,0,Segunda,12.65,Southampton,U,Si
Hombre,39,0,0,Tercera,7.93,Southampton,U,Si
Hombre,26,0,0,Tercera,8.05,Southampton,U,No
Mujer,21,1,0,Tercera,9.83,Southampton,U,No
Hombre,28,1,0,Tercera,15.85,Southampton,U,No
Mujer,20,0,0,Tercera,8.66,Southampton,U,No
Hombre,34,1,0,Segunda,21,Southampton,U,No
Hombre,51,0,0,Tercera,7.75,Southampton,U,No
Hombre,3,1,1,Segunda,18.75,Southampton,U,Si
Hombre,21,0,0,Tercera,7.78,Southampton,U,No
Mujer,29,3,1,Tercera,25.47,Southampton,U,No
Hombre,29,0,0,Tercera,7.9,Southampton,U,No
Hombre,29,0,0,Tercera,6.86,Queenstown,U,No
Mujer,33,1,0,Primera,90,Queenstown,C,Si
Hombre,29,0,0,Segunda,0,Southampton,U,No
Hombre,44,0,0,Tercera,7.93,Southampton,U,Si
Mujer,29,0,0,Tercera,8.05,Southampton,U,No
Mujer,34,1,1,Segunda,32.5,Southampton,U,Si
Mujer,18,0,2,Segunda,13,Southampton,U,Si
Hombre,30,0,0,Segunda,13,Southampton,U,No
Mujer,10,0,2,Tercera,24.15,Southampton,U,No
Hombre,29,0,0,Tercera,7.9,Cherbourg,U,No
Hombre,21,0,0,Tercera,7.73,Queenstown,U,No
Hombre,29,0,0,Tercera,7.88,Southampton,U,No
Mujer,28,1,1,Tercera,14.4,Southampton,U,No
Hombre,18,1,1,Tercera,20.21,Southampton,U,No
Hombre,29,0,0,Tercera,7.25,Southampton,U,No
Mujer,28,1,0,Segunda,26,Southampton,U,Si
Mujer,19,0,0,Segunda,26,Southampton,U,Si
Hombre,29,0,0,Tercera,7.75,Queenstown,U,No
Hombre,32,0,0,Tercera,8.05,Southampton,E,Si
Hombre,28,0,0,Primera,26.55,Southampton,C,Si
Mujer,29,1,0,Tercera,16.1,Southampton,U,Si
Mujer,42,1,0,Segunda,26,Southampton,U,Si
Hombre,17,0,0,Tercera,7.13,Southampton,U,No
Hombre,50,1,0,Primera,55.9,Southampton,E,No
Mujer,14,1,2,Primera,120,Southampton,B,Si
Mujer,21,2,2,Tercera,34.38,Southampton,U,No
Mujer,24,2,3,Segunda,18.75,Southampton,U,Si
Hombre,64,1,4,Primera,263,Southampton,C,No
Hombre,31,0,0,Segunda,10.5,Southampton,U,No
Mujer,45,1,1,Segunda,26.25,Southampton,U,Si
Hombre,20,0,0,Tercera,9.5,Southampton,U,No
Hombre,25,1,0,Tercera,7.78,Southampton,U,No
Mujer,28,0,0,Segunda,13,Southampton,U,Si
