sexo,edad,conyuge_a_bordo,hijos_a_bordo,clase,tarifa,puerto_embarque,cubierta,sobrevivio?
Hombre,29,0,0,Tercera,8.11,Southampton,U,Si
Hombre,4,0,2,Primera,81.86,Southampton,A,Si
Mujer,13,0,1,Segunda,19.5,Southampton,U,Si
Hombre,34,0,0,Primera,26.55,Southampton,U,Si
Mujer,5,2,1,Tercera,19.26,Cherbourg,U,Si
Hombre,52,0,0,Primera,30.5,Southampton,C,Si
Hombre,36,1,2,Segunda,27.75,Southampton,U,No
Hombre,29,1,0,Tercera,19.97,Southampton,U,No
Hombre,30,0,0,Primera,27.75,Cherbourg,C,No
Hombre,49,1,0,Primera,89.1,Cherbourg,C,Si
Hombre,29,0,0,Tercera,8.05,Southampton,U,No
Hombre,29,0,0,Tercera,7.9,Cherbourg,U,Si
Hombre,65,0,0,Primera,26.55,Southampton,E,No
Mujer,29,1,0,Primera,51.86,Southampton,D,Si
Mujer,50,0,0,Segunda,10.5,Southampton,U,Si
Hombre,29,0,0,Tercera,7.75,Queenstown,U,No
Hombre,48,0,0,Primera,26.55,Southampton,E,Si
Hombre,34,0,0,Tercera,8.05,Southampton,U,No
Hombre,47,0,0,Primera,38.5,Southampton,E,No
Hombre,48,0,0,Segunda,13,Southampton,U,No
Hombre,29,0,0,Tercera,8.05,Southampton,U,No
Hombre,38,0,0,Tercera,7.05,Southampton,U,No
Hombre,29,0,0,Segunda,0,Southampton,U,No
Hombre,56,0,0,Primera,26.55,Southampton,U,No
Hombre,29,0,0,Tercera,7.73,Queenstown,U,No
Mujer,0,2,1,Tercera,19.26,Cherbourg,U,Si
Hombre,29,0,0,Tercera,7.25,Southampton,U,No
Hombre,38,0,0,Tercera,8.66,Southampton,U,No
Mujer,33,1,2,Segunda,27.75,Southampton,U,Si
Mujer,23,0,0,Segunda,13.79,Cherbourg,D,Si
Mujer,22,0,0,Tercera,9.84,Southampton,U,No
Hombre,29,0,0,Primera,52,Southampton,A,No
Hombre,34,1,0,Segunda,21,Southampton,U,No
Hombre,29,1,0,Tercera,7.05,Southampton,U,No
Hombre,22,0,0,Tercera,7.52,Southampton,U,No
Mujer,2,0,1,Tercera,12.29,Southampton,U,Si
Hombre,9,5,2,Tercera,46.9,Southampton,U,No
Hombre,29,0,0,Segunda,0,Southampton,U,No
Hombre,50,0,0,Tercera,8.05,Southampton,U,No
Mujer,63,0,0,Tercera,9.59,Southampton,U,Si
Hombre,25,1,0,Primera,91.08,Cherbourg,B,Si
Mujer,29,3,1,Tercera,25.47,Southampton,U,No
Mujer,35,1,0,Primera,90,Southampton,C,Si
Hombre,58,0,0,Primera,29.7,Cherbourg,B,No
Hombre,30,0,0,Tercera,8.05,Southampton,U,No
Hombre,9,1,1,Tercera,15.9,Southampton,U,Si
Hombre,29,1,0,Tercera,19.97,Southampton,U,No
Hombre,21,0,0,Tercera,7.25,Southampton,U,No
Hombre,55,0,0,Primera,30.5,Southampton,C,No
Hombre,71,0,0,Primera,49.5,Cherbourg,U,No
Hombre,21,0,0,Tercera,8.05,Southampton,U,No
Hombre,29,0,0,Tercera,14.46,Cherbourg,U,No
Mujer,54,1,0,Primera,78.27,Cherbourg,D,Si
Hombre,29,0,0,Tercera,15.1,Southampton,U,No
Mujer,25,1,2,Primera,151.55,Southampton,C,No
Hombre,24,0,0,Tercera,7.8,Southampton,U,No
Hombre,17,0,0,Tercera,8.66,Southampton,U,No
Mujer,21,0,0,Tercera,7.75,Queenstown,U,No
Mujer,29,0,0,Tercera,7.63,Queenstown,U,No
Mujer,37,0,0,Tercera,9.59,Southampton,U,No
Mujer,16,0,0,Primera,86.5,Southampton,B,Si
Hombre,18,1,0,Primera,108.9,Cherbourg,C,No
Mujer,33,0,2,Segunda,26,Southampton,U,Si
Hombre,29,0,0,Primera,26.55,Southampton,U,Si
Hombre,28,0,0,Tercera,22.53,Southampton,U,No
Hombre,26,0,0,Tercera,56.5,Southampton,U,Si
Hombre,29,0,0,Tercera,7.75,Queenstown,U,Si
Hombre,29,0,0,Tercera,8.05,Southampton,U,No
Hombre,36,0,0,Primera,26.29,Southampton,E,Si
Mujer,54,1,0,Primera,59.4,Cherbourg,U,Si
Hombre,24,0,0,Tercera,7.5,Southampton,U,No
Hombre,47,0,0,Primera,34.02,Southampton,D,No
Mujer,34,0,0,Segunda,10.5,Southampton,F,Si
Hombre,29,0,0,Tercera,24.15,Queenstown,U,No
Mujer,36,1,0,Segunda,26,Southampton,U,Si
Hombre,32,0,0,Tercera,7.9,Southampton,U,No
Mujer,30,0,0,Primera,93.5,Southampton,B,Si
Hombre,22,0,0,Tercera,7.9,Southampton,U,No
Hombre,29,0,0,Tercera,7.23,Cherbourg,U,No
Mujer,44,0,1,Primera,57.98,Cherbourg,B,Si
Hombre,29,0,0,Tercera,7.23,Cherbourg,U,No
Hombre,40,0,0,Tercera,7.75,Queenstown,U,No
Mujer,50,0,0,Segunda,10.5,Southampton,U,Si
Hombre,29,0,0,Primera,221.78,Southampton,C,No
Hombre,39,0,0,Tercera,7.93,Southampton,U,No
Hombre,23,2,1,Segunda,11.5,Southampton,U,No
Mujer,2,1,1,Segunda,26,Southampton,U,Si
Hombre,29,0,0,Tercera,7.23,Cherbourg,U,No
Hombre,17,1,1,Tercera,7.23,Cherbourg,U,No
Mujer,29,0,2,Tercera,22.36,Cherbourg,U,Si
Mujer,30,0,0,Tercera,8.66,Southampton,U,No
Mujer,7,0,2,Segunda,26.25,Southampton,U,Si
Hombre,45,0,0,Primera,26.55,Southampton,B,No
Mujer,30,0,0,Primera,106.43,Cherbourg,U,Si
Hombre,29,0,0,Tercera,14.5,Southampton,U,No
Mujer,22,0,2,Primera,49.5,Cherbourg,B,Si
Mujer,36,0,2,Primera,71,Southampton,B,Si
Mujer,9,4,2,Tercera,31.28,Southampton,U,No
Mujer,11,4,2,Tercera,31.28,Southampton,U,No
Hombre,32,1,0,Segunda,26,Southampton,U,Si
Hombre,50,1,0,Primera,106.43,Cherbourg,C,No
Hombre,64,0,0,Primera,26,Southampton,U,No
Mujer,19,1,0,Segunda,26,Southampton,U,Si
Hombre,29,0,0,Segunda,13.86,Cherbourg,U,Si
Hombre,33,1,1,Tercera,20.53,Southampton,U,No
Hombre,8,1,1,Segunda,36.75,Southampton,U,Si
Hombre,17,0,2,Primera,110.88,Cherbourg,C,Si
Hombre,27,0,0,Segunda,26,Southampton,U,No
Hombre,29,0,0,Tercera,7.83,Queenstown,U,No
Hombre,22,0,0,Tercera,7.23,Cherbourg,U,Si
Mujer,22,0,0,Tercera,7.78,Southampton,U,Si
Hombre,62,0,0,Primera,26.55,Southampton,U,No
Mujer,48,1,0,Primera,39.6,Cherbourg,A,Si
Hombre,29,0,0,Primera,227.53,Cherbourg,U,No
Mujer,39,1,1,Primera,79.65,Southampton,E,Si
Mujer,36,1,0,Tercera,17.4,Southampton,U,Si
Hombre,29,0,0,Tercera,7.75,Queenstown,U,No
Hombre,40,0,0,Tercera,7.9,Southampton,U,No
Hombre,28,0,0,Segunda,13.5,Southampton,U,No
Hombre,29,0,0,Tercera,8.05,Southampton,U,No
Mujer,29,0,0,Tercera,8.05,Southampton,U,No
Hombre,24,2,0,Tercera,24.15,Southampton,U,No
Hombre,19,0,0,Tercera,7.9,Southampton,U,No
Mujer,29,0,4,Tercera,21.08,Southampton,U,No
Hombre,29,0,0,Tercera,7.23,Cherbourg,U,No
Hombre,32,0,0,Tercera,7.85,Southampton,U,Si
Hombre,62,0,0,Segunda,10.5,Southampton,U,Si
Mujer,53,2,0,Primera,51.48,Southampton,C,Si
Hombre,36,0,0,Primera,26.39,Southampton,E,Si
Mujer,29,0,0,Tercera,7.75,Queenstown,U,Si
Hombre,16,0,0,Tercera,8.05,Southampton,U,No
Hombre,19,0,0,Tercera,14.5,Southampton,U,No
Mujer,34,0,0,Segunda,13,Southampton,U,Si
Mujer,39,1,0,Primera,55.9,Southampton,E,Si
Mujer,29,1,0,Tercera,14.46,Cherbourg,U,No
Hombre,32,0,0,Tercera,7.93,Southampton,U,Si
Mujer,25,1,1,Segunda,30,Southampton,U,Si
Mujer,39,1,1,Primera,110.88,Cherbourg,C,Si
Hombre,54,0,0,Segunda,26,Southampton,U,No
Hombre,36,0,0,Primera,40.13,Cherbourg,A,No
Hombre,29,0,0,Tercera,8.71,Cherbourg,U,No
Mujer,18,0,2,Primera,79.65,Southampton,E,Si
Hombre,47,0,0,Segunda,15,Southampton,U,No
Hombre,60,1,1,Primera,79.2,Cherbourg,B,Si
Hombre,22,0,0,Tercera,8.05,Southampton,U,No
Hombre,29,0,0,Tercera,8.05,Southampton,U,No
Hombre,35,0,0,Tercera,7.13,Southampton,U,No
Mujer,52,1,0,Primera,78.27,Cherbourg,D,Si
Hombre,47,0,0,Tercera,7.25,Southampton,U,No
Mujer,29,0,2,Tercera,7.75,Queenstown,U,No
Hombre,37,1,0,Segunda,26,Southampton,U,No
Hombre,36,1,1,Tercera,24.15,Southampton,U,No
Mujer,29,0,0,Segunda,33,Southampton,U,Si
Hombre,49,0,0,Tercera,0,Southampton,U,No
Hombre,29,0,0,Tercera,7.23,Cherbourg,U,No
Hombre,49,1,0,Primera,56.93,Cherbourg,A,Si
Mujer,24,2,1,Segunda,27,Southampton,U,Si
Hombre,29,0,0,Tercera,7.9,Southampton,U,No
Hombre,29,0,0,Primera,42.4,Southampton,U,No
Hombre,44,0,0,Tercera,8.05,Southampton,U,No
Hombre,35,0,0,Primera,26.55,Cherbourg,U,Si
Hombre,36,1,0,Tercera,15.55,Southampton,U,No
Hombre,30,0,0,Tercera,7.9,Southampton,U,No
Hombre,27,0,0,Primera,30.5,Southampton,U,Si
Mujer,22,1,2,Segunda,41.58,Cherbourg,U,Si
Mujer,40,0,0,Primera,153.46,Southampton,C,Si
Mujer,39,1,5,Tercera,31.28,Southampton,U,No
Hombre,29,0,0,Tercera,7.05,Southampton,U,No
Mujer,29,1,0,Tercera,15.5,Queenstown,U,Si
Hombre,29,0,0,Tercera,7.75,Queenstown,U,No
Hombre,35,0,0,Tercera,8.05,Southampton,U,No
Mujer,24,1,2,Segunda,65,Southampton,U,Si
Hombre,34,1,1,Tercera,14.4,Southampton,U,No
Mujer,26,1,0,Tercera,16.1,Southampton,U,No
Mujer,4,2,1,Segunda,39,Southampton,F,Si
Hombre,26,0,0,Segunda,10.5,Southampton,U,No
Hombre,27,1,0,Tercera,14.45,Cherbourg,U,No
Hombre,42,1,0,Primera,52.55,Southampton,D,Si
Hombre,20,1,1,Tercera,15.74,Cherbourg,U,Si
Hombre,21,0,0,Tercera,7.85,Southampton,U,No
Hombre,21,0,0,Tercera,16.1,Southampton,U,No
Hombre,61,0,0,Primera,32.32,Southampton,D,No
Hombre,57,0,0,Segunda,12.35,Queenstown,U,No
Mujer,21,0,0,Primera,77.96,Southampton,D,Si
Hombre,26,0,0,Tercera,7.9,Southampton,U,No
Hombre,29,0,0,Tercera,7.73,Queenstown,U,No
Hombre,80,0,0,Primera,30,Southampton,A,Si
Hombre,51,0,0,Tercera,7.05,Southampton,U,No
Hombre,32,0,0,Primera,30.5,Cherbourg,B,Si
Hombre,29,0,0,Primera,0,Southampton,U,No
Mujer,9,3,2,Tercera,27.9,Southampton,U,No
Mujer,28,0,0,Segunda,13,Southampton,U,Si
Hombre,32,0,0,Tercera,7.93,Southampton,U,No
Hombre,31,1,1,Segunda,26.25,Southampton,U,No
Mujer,41,0,5,Tercera,39.69,Southampton,U,No
Hombre,29,1,0,Tercera,16.1,Southampton,U,No
Hombre,20,0,0,Tercera,7.85,Southampton,U,No
Mujer,24,0,0,Primera,69.3,Cherbourg,B,Si
Mujer,2,3,2,Tercera,27.9,Southampton,U,No
Hombre,29,0,0,Tercera,56.5,Southampton,U,Si
Mujer,0,2,1,Tercera,19.26,Cherbourg,U,Si
Hombre,48,1,0,Primera,76.73,Cherbourg,D,Si
Hombre,19,0,0,Tercera,7.9,Southampton,U,No
Hombre,56,0,0,Primera,35.5,Cherbourg,A,Si
Hombre,29,0,0,Tercera,7.55,Southampton,U,No
Mujer,23,0,0,Tercera,7.55,Southampton,U,Si
Hombre,29,0,0,Tercera,7.9,Southampton,U,No
Mujer,18,0,1,Segunda,23,Southampton,U,Si
Hombre,21,0,0,Tercera,8.43,Southampton,U,No
Mujer,29,0,0,Tercera,7.83,Queenstown,U,Si
Mujer,18,0,0,Tercera,6.75,Queenstown,U,No
Hombre,24,2,0,Segunda,73.5,Southampton,U,No
Hombre,29,0,0,Tercera,7.9,Southampton,U,No
Mujer,32,1,1,Tercera,15.5,Queenstown,U,No
Hombre,23,0,0,Segunda,13,Southampton,U,No
Hombre,58,0,2,Primera,113.28,Cherbourg,D,No
Hombre,50,2,0,Primera,133.65,Southampton,U,Si
Hombre,40,0,0,Tercera,7.23,Cherbourg,U,No
Hombre,47,0,0,Primera,25.59,Southampton,E,No
Hombre,36,0,0,Tercera,7.5,Southampton,U,No
Hombre,20,1,0,Tercera,7.93,Southampton,U,Si
Hombre,32,2,0,Segunda,73.5,Southampton,U,No
Hombre,25,0,0,Segunda,13,Southampton,U,No
Hombre,29,0,0,Tercera,7.78,Southampton,U,No
Hombre,43,0,0,Tercera,8.05,Southampton,U,No
Mujer,29,1,0,Primera,52,Southampton,C,Si
Mujer,40,1,1,Segunda,39,Southampton,U,Si
Hombre,31,1,0,Primera,52,Southampton,B,No
Hombre,70,0,0,Segunda,10.5,Southampton,U,No
Hombre,31,0,0,Segunda,13,Southampton,U,Si
Hombre,29,0,0,Segunda,0,Southampton,U,No
Hombre,18,0,0,Tercera,7.78,Southampton,U,No
Hombre,24,0,0,Tercera,8.05,Southampton,U,No
Mujer,18,0,0,Tercera,9.84,Southampton,U,Si
Mujer,43,1,6,Tercera,46.9,Southampton,U,No
Hombre,36,0,1,Primera,512.33,Cherbourg,B,Si
Mujer,29,0,0,Tercera,8.14,Queenstown,U,No
Hombre,27,0,0,Primera,76.73,Cherbourg,D,Si
Hombre,20,0,0,Tercera,9.23,Southampton,U,No
Hombre,14,5,2,Tercera,46.9,Southampton,U,No
Hombre,60,1,1,Segunda,39,Southampton,U,No
Hombre,25,1,2,Segunda,41.58,Cherbourg,U,No
Hombre,14,4,1,Tercera,39.69,Southampton,U,No
Hombre,19,0,0,Tercera,10.17,Southampton,U,No
Hombre,18,0,0,Tercera,7.8,Southampton,U,No
Mujer,15,0,1,Primera,211.34,Southampton,B,Si
Hombre,31,1,0,Primera,57,Southampton,B,Si
Mujer,4,0,1,Tercera,13.42,Cherbourg,U,Si
Hombre,29,0,0,Tercera,56.5,Southampton,U,Si
Hombre,25,0,0,Tercera,7.23,Cherbourg,U,No
Hombre,60,0,0,Primera,26.55,Southampton,U,No
Hombre,52,0,0,Segunda,13.5,Southampton,U,No
Hombre,44,0,0,Tercera,8.05,Southampton,U,No
Mujer,29,0,0,Tercera,7.73,Queenstown,U,Si
Hombre,49,1,1,Primera,110.88,Cherbourg,C,No
Hombre,42,0,0,Tercera,7.65,Southampton,F,No
Mujer,18,1,0,Primera,227.53,Cherbourg,C,Si
Hombre,35,0,0,Primera,26.29,Southampton,E,Si
Mujer,18,0,1,Tercera,14.45,Cherbourg,U,No
Hombre,25,0,0,Tercera,7.74,Queenstown,U,No
Hombre,26,1,0,Tercera,7.85,Southampton,U,No
Hombre,39,0,0,Segunda,26,Southampton,U,No
Mujer,45,0,0,Segunda,13.5,Southampton,U,Si
Hombre,42,0,0,Primera,26.29,Southampton,E,Si
Mujer,22,0,0,Primera,151.55,Southampton,U,Si
Hombre,29,1,1,Tercera,15.25,Cherbourg,U,Si
Mujer,24,0,0,Primera,49.5,Cherbourg,C,Si
Hombre,29,0,0,Primera,26.55,Southampton,C,No
Hombre,48,1,0,Primera,52,Southampton,C,Si
Hombre,29,0,0,Tercera,9.48,Southampton,U,No
Hombre,52,0,0,Segunda,13,Southampton,U,No
Hombre,19,0,0,Tercera,7.65,Southampton,F,No
Mujer,38,0,0,Primera,227.53,Cherbourg,C,Si
Mujer,27,0,0,Segunda,10.5,Southampton,E,Si
Hombre,29,0,0,Tercera,15.5,Queenstown,U,No
Hombre,33,0,0,Tercera,7.78,Southampton,U,No
Mujer,6,0,1,Segunda,33,Southampton,U,Si
Hombre,17,1,0,Tercera,7.05,Southampton,U,No
Hombre,34,0,0,Segunda,13,Southampton,U,No
Hombre,50,0,0,Segunda,13,Southampton,U,No
Hombre,27,1,0,Primera,53.1,Southampton,E,Si
Hombre,20,0,0,Tercera,8.66,Southampton,U,No
Mujer,30,3,0,Segunda,21,Southampton,U,Si
Mujer,29,0,0,Tercera,7.74,Queenstown,U,Si
Hombre,25,1,0,Segunda,26,Southampton,U,No
Mujer,25,1,0,Tercera,7.93,Southampton,U,No
Mujer,29,0,0,Primera,211.34,Southampton,B,Si
Hombre,11,0,0,Tercera,18.79,Cherbourg,U,No
Hombre,29,0,0,Segunda,0,Southampton,U,No
Hombre,23,0,0,Segunda,13,Southampton,U,No
Hombre,23,0,0,Segunda,13,Southampton,U,No
Hombre,28,0,0,Tercera,16.1,Southampton,U,No
Mujer,48,1,3,Tercera,34.38,Southampton,U,No
Hombre,35,0,0,Primera,512.33,Cherbourg,B,Si
Hombre,29,0,0,Tercera,7.9,Southampton,U,No
Hombre,29,0,0,Tercera,7.9,Southampton,U,No
Hombre,29,0,0,Primera,30,Southampton,D,Si
Hombre,36,1,0,Primera,78.85,Southampton,C,No
Mujer,21,2,2,Primera,262.38,Cherbourg,B,Si
Hombre,24,1,0,Tercera,16.1,Southampton,U,No
Hombre,31,0,0,Tercera,7.93,Southampton,U,Si
Hombre,70,1,1,Primera,71,Southampton,B,No
Hombre,16,1,1,Tercera,20.25,Southampton,U,No
Mujer,30,0,0,Segunda,13,Southampton,U,Si
Hombre,19,1,0,Primera,53.1,Southampton,D,No
Hombre,31,0,0,Tercera,7.75,Queenstown,U,No
Mujer,4,1,1,Segunda,23,Southampton,U,Si
Hombre,6,0,1,Tercera,12.48,Southampton,E,Si
Hombre,33,0,0,Tercera,9.5,Southampton,U,No
Hombre,23,0,0,Tercera,7.9,Southampton,U,No
Mujer,48,1,2,Segunda,65,Southampton,U,Si
Hombre,0,1,1,Segunda,14.5,Southampton,U,Si
Hombre,28,0,0,Tercera,7.8,Southampton,U,No
Hombre,18,0,0,Segunda,11.5,Southampton,U,No
Hombre,34,0,0,Tercera,8.05,Southampton,U,No
Mujer,33,0,0,Primera,86.5,Southampton,B,Si
Hombre,29,0,0,Tercera,14.5,Southampton,U,No
Hombre,41,0,0,Tercera,7.13,Southampton,U,No
Hombre,20,0,0,Tercera,7.23,Cherbourg,U,Si
Mujer,36,1,2,Primera,120,Southampton,B,Si
Hombre,16,0,0,Tercera,7.78,Southampton,U,No
Mujer,51,1,0,Primera,77.96,Southampton,D,Si
Hombre,29,0,0,Primera,39.6,Cherbourg,U,No
Mujer,30,0,0,Tercera,7.75,Queenstown,U,No
Hombre,29,1,0,Tercera,24.15,Queenstown,U,No
Hombre,32,0,0,Tercera,8.36,Southampton,U,No
Hombre,24,0,0,Tercera,9.5,Southampton,U,No
Hombre,48,0,0,Tercera,7.85,Southampton,U,No
Mujer,57,0,0,Segunda,10.5,Southampton,E,No
Hombre,29,0,0,Tercera,7.23,Cherbourg,U,No
Mujer,54,1,3,Segunda,23,Southampton,U,Si
Hombre,18,0,0,Tercera,7.75,Southampton,U,No
Hombre,29,0,0,Tercera,7.75,Queenstown,F,No
Mujer,5,0,0,Tercera,12.48,Southampton,U,Si
Hombre,29,0,0,Tercera,7.74,Queenstown,U,No
Mujer,43,0,1,Primera,211.34,Southampton,B,Si
Mujer,13,0,0,Tercera,7.23,Cherbourg,U,Si
Mujer,17,1,0,Primera,57,Southampton,B,Si
Hombre,29,0,0,Primera,30,Southampton,D,No
Hombre,29,1,2,Tercera,23.45,Southampton,U,No
Hombre,25,0,0,Tercera,7.05,Southampton,U,No
Hombre,25,0,0,Tercera,7.25,Southampton,U,No
Mujer,18,0,0,Tercera,7.5,Southampton,U,Si
Hombre,8,4,1,Tercera,29.13,Queenstown,U,No
Hombre,1,1,2,Tercera,20.58,Southampton,U,Si
Hombre,46,0,0,Primera,79.2,Cherbourg,B,No
Hombre,29,0,0,Tercera,7.75,Queenstown,U,No
Hombre,16,0,0,Segunda,26,Southampton,U,No
Mujer,29,8,2,Tercera,69.55,Southampton,U,No
Hombre,29,0,0,Primera,30.7,Cherbourg,U,No
Hombre,25,0,0,Tercera,7.9,Southampton,U,No
Hombre,39,0,0,Segunda,13,Southampton,U,No
Mujer,49,0,0,Primera,25.93,Southampton,D,Si
Mujer,31,0,0,Tercera,8.68,Southampton,U,Si
Hombre,30,0,0,Tercera,7.23,Cherbourg,U,No
Mujer,30,1,1,Tercera,24.15,Southampton,U,No
Hombre,34,0,0,Segunda,13,Southampton,U,No
Mujer,31,1,1,Segunda,26.25,Southampton,U,Si
Hombre,11,1,2,Primera,120,Southampton,B,Si
Hombre,0,0,1,Tercera,8.52,Cherbourg,U,Si
Hombre,27,0,0,Tercera,6.98,Southampton,U,Si
Hombre,31,0,0,Tercera,7.78,Southampton,U,No
Hombre,39,0,0,Primera,0,Southampton,A,No
Mujer,18,0,0,Tercera,7.78,Southampton,U,No
Hombre,39,0,0,Segunda,13,Southampton,U,No
Mujer,33,1,0,Primera,53.1,Southampton,E,Si
Hombre,26,0,0,Tercera,7.89,Southampton,U,No
Hombre,39,0,0,Tercera,24.15,Southampton,U,No
Hombre,35,0,0,Segunda,10.5,Southampton,U,No
Mujer,6,4,2,Tercera,31.28,Southampton,U,No
Hombre,30,0,0,Tercera,8.05,Southampton,U,No
Hombre,29,0,0,Primera,0,Southampton,B,No
Mujer,23,0,0,Tercera,7.93,Southampton,U,No
Hombre,31,1,1,Segunda,37,Cherbourg,U,No
Hombre,43,0,0,Tercera,6.45,Southampton,U,No
Hombre,10,3,2,Tercera,27.9,Southampton,U,No
Mujer,52,1,1,Primera,93.5,Southampton,B,Si
Hombre,27,0,0,Tercera,8.66,Southampton,U,Si
Hombre,38,0,0,Primera,0,Southampton,U,No
Mujer,27,0,1,Tercera,12.48,Southampton,E,Si
Hombre,2,4,1,Tercera,39.69,Southampton,U,No
Hombre,29,0,0,Tercera,6.95,Queenstown,U,No
Hombre,29,0,0,Tercera,56.5,Southampton,U,No
Hombre,1,0,2,Segunda,37,Cherbourg,U,Si
Hombre,29,0,0,Tercera,7.75,Queenstown,U,Si
Mujer,62,0,0,Primera,80,Southampton,B,Si
Mujer,15,1,0,Tercera,14.45,Cherbourg,U,Si
Hombre,0,1,1,Segunda,18.75,Southampton,U,Si
Hombre,29,0,0,Tercera,7.23,Cherbourg,U,No
Hombre,23,0,0,Tercera,7.85,Southampton,U,No
Hombre,18,0,0,Tercera,8.3,Southampton,U,No
Mujer,39,1,1,Primera,83.16,Cherbourg,E,Si
Hombre,21,0,0,Tercera,8.66,Southampton,U,No
Hombre,29,0,0,Tercera,8.05,Southampton,U,No
Hombre,32,0,0,Tercera,56.5,Southampton,U,Si
Hombre,29,0,0,Primera,29.7,Cherbourg,C,Si
Hombre,20,0,0,Tercera,7.93,Southampton,U,No
Hombre,16,0,0,Segunda,10.5,Southampton,U,No
Mujer,30,0,0,Primera,31,Cherbourg,U,Si
Hombre,34,0,0,Tercera,6.44,Cherbourg,U,No
Hombre,17,0,0,Tercera,8.66,Southampton,U,No
Hombre,42,0,0,Tercera,7.55,Southampton,U,No
Hombre,29,8,2,Tercera,69.55,Southampton,U,No
Hombre,35,0,0,Tercera,7.9,Cherbourg,U,No
Hombre,28,0,1,Segunda,33,Southampton,U,No
Mujer,29,1,0,Primera,89.1,Cherbourg,C,Si
Hombre,4,4,2,Tercera,31.28,Southampton,U,No
Hombre,74,0,0,Tercera,7.78,Southampton,U,No
Mujer,9,1,1,Tercera,15.25,Cherbourg,U,No
Mujer,16,0,1,Primera,39.4,Southampton,D,Si
Mujer,44,1,0,Segunda,26,Southampton,U,No
Mujer,18,0,1,Tercera,9.35,Southampton,U,Si
Mujer,45,1,1,Primera,164.87,Southampton,U,Si
Hombre,51,0,0,Primera,26.55,Southampton,E,Si
Mujer,24,0,3,Tercera,19.26,Cherbourg,U,Si
Hombre,29,0,0,Tercera,7.23,Cherbourg,U,No
Hombre,41,2,0,Tercera,14.11,Southampton,U,No
Hombre,21,1,0,Segunda,11.5,Southampton,U,No
Mujer,48,0,0,Primera,25.93,Southampton,D,Si
Mujer,29,8,2,Tercera,69.55,Southampton,U,No
Hombre,24,0,0,Segunda,13,Southampton,U,No
Mujer,42,0,0,Segunda,13,Southampton,U,Si
Mujer,27,1,0,Segunda,13.86,Cherbourg,U,Si
Hombre,31,0,0,Primera,50.5,Southampton,A,No
Hombre,29,0,0,Tercera,9.5,Southampton,U,No
Hombre,4,1,1,Tercera,11.13,Southampton,U,Si
Hombre,26,0,0,Tercera,7.9,Southampton,U,No
Mujer,47,1,1,Primera,52.55,Southampton,D,Si
Hombre,33,0,0,Primera,5,Southampton,B,No
Hombre,47,0,0,Tercera,9,Southampton,U,No
Mujer,28,1,0,Segunda,24,Cherbourg,U,Si
Mujer,15,0,0,Tercera,7.23,Cherbourg,U,Si
Hombre,20,0,0,Tercera,9.85,Southampton,U,No
Hombre,19,0,0,Tercera,7.9,Southampton,U,No
Hombre,29,0,0,Tercera,7.9,Southampton,U,No
Mujer,56,0,1,Primera,83.16,Cherbourg,C,Si
Mujer,25,0,1,Segunda,26,Southampton,U,Si
Hombre,33,0,0,Tercera,7.9,Southampton,U,No
Mujer,22,0,0,Tercera,10.52,Southampton,U,No
Hombre,28,0,0,Segunda,10.5,Southampton,U,No
Hombre,25,0,0,Tercera,7.05,Southampton,U,No
Mujer,39,0,5,Tercera,29.13,Queenstown,U,No
Hombre,27,0,0,Segunda,13,Southampton,U,No
Mujer,19,0,0,Primera,30,Southampton,B,Si
Mujer,29,1,2,Tercera,23.45,Southampton,U,No
Hombre,26,0,0,Primera,30,Cherbourg,C,Si
Hombre,32,0,0,Tercera,7.75,Queenstown,U,No
